exe_id,file_path,version,file_size_kb
46,/usr/bin/wget,4.4.4,8
47,/opt/vscode/code,5.5.5,60
48,/usr/bin/vim,3.0.0-alpha,16
49,/usr/bin/go,20.10.24,11
50,/usr/bin/tmux,5.10.0,96
51,/bin/bash,2.2.0,96
52,/usr/bin/ssh-agent,2.1.0-rc1,85
53,/usr/bin/strace,2.0.1-final,86
54,/usr/bin/go,2.0.4,71
55,/usr/bin/unzip,1.25.3,30
56,/usr/bin/wget,5.4.0,85
57,/usr/bin/go,3.2.0,62
58,/usr/bin/top,1.0.0,87
59,/opt/microsoft/powershell/pwsh,3.0.0,11
60,/usr/bin/tcpdump,4.4.4,21
61,/usr/local/bin/ansible,1.1.2,4
62,/usr/bin/lsof,1.1.0,1
63,/usr/sbin/cron,1.18.2,40
64,/usr/bin/top,1.4.2-hotfix,95
65,/opt/spotify/spotify,1.0.1,96
66,/usr/local/bin/terraform,23.10,84
67,/usr/bin/tcpdump,21.0.1,20
68,/usr/sbin/ufw,23.10,19
69,/usr/local/bin/ansible,1.1.0,30
70,/usr/local/bin/ansible,0.9.9-dev,9
71,/usr/bin/perl,6.2.0,100
72,/usr/sbin/cron,1.0.0-build882,16
73,/usr/bin/git,7.4.33,78
74,/opt/spotify/spotify,1.25.3,75
75,/usr/local/bin/mongod,2.0.0,44
76,/usr/bin/ffmpeg,0.2.4,46
77,/usr/sbin/iptables,1.1.0,35
78,/usr/bin/awk,1.1.2,8
79,/usr/sbin/ufw,1.1.0,7
80,/usr/bin/go,3.0.0,56
81,/usr/bin/kubectl,1.18.2,36
82,/opt/spotify/spotify,1.25.3,54
83,/usr/bin/tcpdump,3.2.0,66
84,/usr/sbin/dnsmasq,1.2.0-beta,76
85,/usr/bin/tmux,4.0.0,58
86,/usr/bin/tcpdump,5.4.0,17
87,/usr/bin/awk,2.2.0,39
88,/usr/bin/tmux,7.4.33,80
89,/usr/bin/nmap,3.10.12,43
90,/usr/bin/awk,1.2.0-beta,26
91,/usr/bin/grep,1.2.1,15
92,/usr/bin/htop,2.4.52,81
93,/usr/bin/tcpdump,0.9.9-dev,65
94,/usr/bin/find,2.0.0,70
95,/usr/bin/sed,1.5.0,83
96,/usr/bin/kubectl,5.0.0,43
97,/usr/local/bin/postgres,1.1.0,48
98,/usr/bin/make,0.1.0,91
99,/opt/microsoft/powershell/pwsh,1.18.2,38
100,/usr/local/bin/terraform,2.5.1,1
101,/usr/sbin/cron,2.1.0-rc1,7
102,/usr/local/bin/ansible,2.5.1,5
103,/usr/bin/python3,2.5.1,68
104,/usr/bin/nmap,2.0.0,89
105,/opt/google/chrome/chrome,1.0.0-build882,63
106,/usr/bin/git,5.5.5,20
107,/opt/spotify/spotify,4.4.4,33
108,/usr/bin/php,23.10,58
109,/usr/bin/git,2.2.0,41
110,/usr/bin/wget,2.0.4,97
111,/usr/local/bin/nginx,2.0.1-final,37
112,/usr/local/bin/mongod,1.1.0,62
113,/usr/bin/wget,22.04.1-LTS,2
114,/usr/bin/curl,2.2.0,62
115,/usr/bin/ssh-agent,22.04.1-LTS,32
116,/usr/bin/ruby,5.0.0,2
117,/usr/bin/grep,2.0.0,36
118,/usr/bin/make,2.2.0,30
119,/usr/sbin/dnsmasq,5.5.5,46
120,/usr/bin/htop,3.2.0,79
121,/opt/spotify/spotify,0.2.4,87
122,/usr/sbin/iptables,4.4.4,57
123,/usr/sbin/ufw,0.2.4,56
124,/usr/bin/java,3.12.1,42
125,/usr/local/bin/redis-server,20.10.24,37
126,/usr/local/bin/redis-server,4.0.0,100
127,/usr/bin/wget,9.1.0,42
128,/usr/bin/lsof,3.2.0,38
129,/usr/local/bin/node,1.0.0,1
130,/usr/bin/awk,20.10.24,74
131,/usr/bin/tmux,17.0.8,39
132,/opt/microsoft/powershell/pwsh,8.0.34,46
133,/usr/local/bin/terraform,5.5.5,12
134,/usr/bin/kubectl,23.10,18
135,/usr/bin/rsync,3.0.0,12
136,/usr/sbin/sshd,0.2.4,72
137,/usr/bin/docker,2.1.0-rc1,16
138,/opt/slack/slack,8.0.34,72
139,/usr/bin/htop,2.0.4,53
140,/usr/bin/curl,21.0.1,78
141,/usr/bin/find,2.5.1,88
142,/usr/local/bin/postgres,3.2.0,76
143,/usr/local/bin/ansible,3.1.2,43
144,/usr/bin/ruby,11.0.21,18
145,/usr/sbin/ufw,23.10,31
146,/usr/bin/unzip,4.2.1-stable,37
147,/usr/bin/python3,8.0.34,37
148,/usr/bin/unzip,22.04.1-LTS,81
149,/usr/bin/find,7.4.33,30
150,/usr/bin/rsync,22.04.1-LTS,4
151,/usr/local/bin/terraform,3.0.0,9
152,/usr/sbin/iptables,1.0.1,4
153,/usr/bin/find,10.0.1,52
154,/opt/microsoft/powershell/pwsh,4.2.1-stable,27
155,/usr/bin/sed,4.0.0,25
156,/usr/sbin/apache2,3.1.2,37
157,/usr/local/bin/ansible,2.4.52,41
158,/usr/sbin/ufw,10.0.1,6
159,/usr/bin/sed,22.04.1-LTS,68
160,/usr/bin/grep,20.10.24,15
161,/usr/bin/tmux,1.0.0-build442,92
162,/usr/bin/unzip,1.1.2,62
163,/usr/bin/nmap,3.3.3,77
164,/usr/local/bin/node,4.8.1,46
165,/opt/slack/slack,1.2.1,31
166,/usr/bin/vim,3.12.1,13
167,/usr/local/bin/nginx,6.2.0,38
168,/usr/bin/sed,5.4.0,4
169,/usr/bin/htop,2.0.1-final,56
170,/usr/bin/java,4.2.1-stable,68
171,/opt/google/chrome/chrome,5.10.0,2
172,/opt/vscode/code,3.2.0,45
173,/usr/bin/go,1.0.0-build882,42
174,/usr/sbin/apache2,4.0.0,40
175,/bin/systemd,6.2.0,40
176,/usr/bin/grep,4.8.1,17
177,/usr/bin/make,1.0.0,46
178,/usr/local/bin/terraform,17.0.8,100
179,/usr/bin/grep,5.4.0,21
180,/opt/slack/slack,2.1.0-rc1,85
181,/opt/spotify/spotify,5.5.5,19
182,/usr/bin/gcc,1.2.1,13
183,/opt/vscode/code,17.0.8,17
184,/usr/sbin/dnsmasq,4.8.1,35
185,/usr/bin/htop,6.2.0,1
186,/usr/bin/lsof,21.0.1,95
187,/opt/google/chrome/chrome,3.10.12,95
188,/usr/sbin/sshd,3.2.0,56
189,/usr/bin/nmap,21.0.1,23
190,/usr/bin/docker,1.0.1,76
191,/usr/bin/awk,1.1.2,96
192,/usr/bin/lsof,11.0.21,44
193,/opt/vscode/code,1.1.2,75
194,/usr/bin/zip,1.0.0,37
195,/usr/bin/htop,20.10.24,91
196,/usr/bin/perl,1.4.2-hotfix,15
197,/usr/bin/strace,5.10.0,39
198,/usr/bin/awk,5.5.5,56
199,/usr/sbin/dnsmasq,21.0.1,26
200,/opt/microsoft/powershell/pwsh,10.0.1,89
201,/usr/sbin/ufw,0.1.0,33
202,/usr/bin/ffmpeg,3.3.3,59
203,/usr/local/bin/node,1.21.0,8
204,/usr/bin/ssh-agent,1.0.1,24
205,/usr/sbin/iptables,3.0.0,59
206,/usr/bin/php,17.0.8,68
207,/usr/local/bin/ansible,0.9.9-dev,4
208,/usr/bin/grep,1.0.1,15
209,/usr/bin/unzip,3.0.0-alpha,71
210,/usr/bin/make,2.0.4,1
211,/usr/bin/tcpdump,7.4.33,90
212,/usr/bin/git,20.10.24,86
213,/usr/local/bin/ansible,10.0.1,34
214,/usr/local/bin/redis-server,1.1.2,48
215,/usr/bin/tmux,1.2.1,93
216,/usr/bin/sed,4.2.1-stable,4
217,/usr/bin/nmap,17.0.8,96
218,/bin/systemd,9.1.0,53
219,/usr/bin/docker,1.0.1,74
220,/usr/sbin/apache2,20.10.24,11
221,/usr/bin/vim,0.1.0,7
222,/opt/google/chrome/chrome,4.8.1,48
223,/bin/systemd,22.04.1-LTS,47
224,/usr/bin/go,4.2.1-stable,22
225,/usr/bin/lsof,7.4.33,40
226,/usr/bin/zip,0.2.4,1
227,/opt/vscode/code,5.0.0,23
228,/usr/local/bin/postgres,21.0.1,74
229,/opt/google/chrome/chrome,5.0.0,52
230,/usr/bin/nmap,1.5.0,83
231,/usr/bin/strace,1.0.0,59
232,/usr/bin/tcpdump,1.1.0,50
233,/usr/bin/unzip,2.1.0-rc1,50
234,/usr/bin/lsof,0.2.4,29
235,/usr/bin/gcc,3.0.0,76
236,/opt/slack/slack,0.2.4,91
237,/usr/bin/kubectl,0.1.0,82
238,/usr/bin/zip,1.0.0-build882,17
239,/usr/bin/unzip,3.2.0,33
240,/usr/bin/curl,1.4.2-hotfix,98
241,/usr/bin/vim,1.2.1,42
242,/usr/bin/awk,5.4.0,56
243,/usr/local/bin/terraform,21.0.1,84
244,/usr/bin/go,11.0.21,96
245,/usr/bin/ffmpeg,22.04.1-LTS,15
246,/usr/bin/ruby,7.4.33,25
247,/opt/google/chrome/chrome,1.1.2,56
248,/usr/bin/find,10.0.1,25
249,/usr/sbin/cron,3.0.0,52
250,/usr/bin/gcc,4.2.1-stable,35
251,/usr/local/bin/nginx,2.0.1-final,94
252,/usr/bin/git,2.2.0,70
253,/usr/local/bin/nginx,2.0.1-final,48
254,/usr/bin/go,0.2.4,77
255,/usr/bin/git,1.2.1,87
256,/usr/bin/find,1.5.0,16
257,/usr/sbin/dnsmasq,8.0.34,86
258,/usr/sbin/cron,23.10,68
259,/usr/bin/nmap,9.1.0,26
260,/usr/bin/make,10.0.1,37
261,/usr/bin/nmap,3.3.3,52
262,/usr/bin/kubectl,1.1.2,43
263,/usr/bin/go,9.1.0,32
264,/usr/bin/wget,3.10.12,26
265,/usr/bin/find,2.5.1,67
266,/usr/sbin/dnsmasq,2.1.0-rc1,45
267,/opt/slack/slack,1.1.2,28
268,/usr/bin/awk,2.1.0-rc1,100
269,/usr/bin/grep,6.2.0,6
270,/usr/bin/zip,1.0.1,33
271,/usr/bin/docker,1.2.1,75
272,/usr/bin/curl,5.5.5,64
273,/usr/bin/unzip,1.18.2,6
274,/usr/bin/make,4.0.0,74
275,/usr/bin/tmux,4.4.4,34
276,/usr/bin/docker,1.21.0,23
277,/usr/bin/perl,3.3.3,63
278,/usr/bin/curl,0.2.4,93
279,/usr/bin/unzip,3.1.2,64
280,/opt/google/chrome/chrome,2.1.0-rc1,64
281,/usr/bin/docker,2.1.0-rc1,49
282,/usr/bin/curl,0.9.9-dev,80
283,/usr/bin/tmux,2.0.0,74
284,/usr/bin/vim,0.1.0,42
285,/usr/bin/java,23.10,94
286,/usr/bin/top,2.0.4,100
287,/usr/bin/make,2.5.1,65
288,/opt/microsoft/powershell/pwsh,2.0.0,99
289,/usr/bin/zip,2.4.52,77
290,/usr/bin/tmux,1.25.3,34
291,/usr/bin/tmux,3.2.0,20
292,/usr/bin/python3,8.0.34,88
293,/usr/bin/gcc,2.2.0,37
294,/usr/bin/git,2.1.0-rc1,85
295,/usr/bin/php,23.10,44
296,/usr/bin/tmux,2.4.52,58
297,/usr/sbin/cron,2.5.1,51
298,/usr/bin/tmux,8.0.34,27
299,/usr/bin/curl,5.10.0,12
300,/usr/bin/top,1.18.2,16
301,/usr/bin/grep,1.0.0-build442,97
302,/usr/bin/nmap,4.0.0,87
303,/usr/local/bin/postgres,22.04.1-LTS,62
304,/usr/bin/strace,5.10.0,87
305,/usr/bin/gcc,2.0.1-final,87
306,/usr/bin/unzip,10.0.1,35
307,/usr/bin/python3,1.0.0-build442,26
308,/usr/bin/perl,1.0.0-build442,3
309,/usr/sbin/iptables,0.2.4,66
310,/usr/bin/unzip,10.0.1,98
311,/usr/bin/ssh-agent,21.0.1,63
312,/usr/bin/tmux,1.5.0,91
313,/opt/spotify/spotify,4.2.1-stable,82
314,/usr/bin/find,1.1.2,99
315,/opt/vscode/code,21.0.1,35
316,/opt/microsoft/powershell/pwsh,2.4.52,31
317,/usr/sbin/ufw,2.0.4,74
318,/usr/sbin/dnsmasq,4.8.1,52
319,/usr/local/bin/nginx,22.04.1-LTS,25
320,/usr/bin/go,4.8.1,25
321,/usr/bin/tmux,0.9.8,42
322,/opt/slack/slack,4.4.4,66
323,/bin/bash,17.0.8,21
324,/usr/local/bin/ansible,1.4.2-hotfix,34
325,/usr/bin/unzip,10.0.1,39
326,/usr/bin/git,20.10.24,74
327,/usr/bin/tcpdump,21.0.1,67
328,/usr/bin/ssh-agent,3.1.2,7
329,/usr/bin/ffmpeg,9.1.0,1
330,/bin/systemd,1.1.2,17
331,/usr/bin/vim,21.0.1,5
332,/usr/local/bin/terraform,1.0.0,76
333,/usr/local/bin/postgres,21.0.1,35
334,/usr/bin/lsof,3.0.0-alpha,14
335,/usr/bin/java,4.2.1-stable,55
336,/usr/bin/htop,0.2.4,25
337,/usr/bin/curl,4.8.1,27
338,/usr/bin/awk,5.0.0,7
339,/usr/local/bin/postgres,6.2.0,7
340,/usr/bin/lsof,7.4.33,36
341,/opt/microsoft/powershell/pwsh,0.9.8,19
342,/usr/bin/make,3.12.1,51
343,/usr/bin/nmap,1.21.0,33
344,/usr/sbin/apache2,23.10,96
345,/bin/systemd,1.18.2,12
346,/usr/sbin/cron,3.12.1,19
347,/usr/bin/php,21.0.1,19
348,/usr/bin/kubectl,0.1.0,92
349,/usr/bin/docker,4.4.4,8
350,/usr/local/bin/node,2.1.0-rc1,66
351,/usr/bin/unzip,1.0.0,62
352,/usr/local/bin/nginx,3.3.3,70
353,/usr/bin/gcc,7.4.33,40
354,/usr/bin/zip,5.4.0,53
355,/usr/bin/ssh-agent,2.0.0,40
356,/usr/bin/wget,5.5.5,36
357,/usr/bin/gcc,4.8.1,85
358,/usr/bin/tcpdump,4.8.1,8
359,/usr/bin/strace,2.0.0,23
360,/usr/local/bin/nginx,3.0.0,38
361,/usr/sbin/dnsmasq,23.10,38
362,/usr/sbin/cron,1.21.0,86
363,/usr/local/bin/nginx,1.0.1,5
364,/usr/bin/wget,3.0.0,51
365,/usr/local/bin/nginx,5.4.0,34
366,/usr/bin/nmap,4.8.1,35
367,/usr/bin/make,1.2.0-beta,14
368,/usr/bin/grep,11.0.21,73
369,/usr/bin/grep,1.18.2,12
370,/opt/microsoft/powershell/pwsh,0.9.8,68
371,/usr/sbin/apache2,1.0.1,22
372,/usr/bin/grep,3.1.2,7
373,/usr/bin/curl,1.5.0,21
374,/usr/local/bin/node,2.5.1,30
375,/usr/bin/nmap,1.1.2,94
376,/usr/local/bin/ansible,8.0.34,45
377,/usr/sbin/ufw,1.2.1,48
378,/usr/bin/git,1.1.0,60
379,/bin/systemd,1.5.0,78
380,/usr/sbin/ufw,10.0.1,94
381,/usr/bin/rsync,11.0.21,42
382,/opt/google/chrome/chrome,4.0.0,48
383,/usr/sbin/dnsmasq,1.18.2,44
384,/usr/bin/docker,2.0.0,74
385,/usr/bin/php,4.0.0,16
386,/usr/bin/make,20.10.24,36
387,/usr/bin/strace,17.0.8,20
388,/opt/google/chrome/chrome,5.0.0,7
389,/usr/sbin/sshd,3.12.1,11
390,/usr/bin/nmap,17.0.8,28
391,/usr/bin/wget,4.2.1-stable,30
392,/usr/bin/unzip,1.1.0,28
393,/usr/bin/sed,8.0.34,73
394,/usr/bin/perl,20.10.24,81
395,/usr/sbin/sshd,0.9.9-dev,73
396,/usr/bin/php,3.2.0,31
397,/usr/local/bin/node,1.21.0,24
398,/usr/sbin/iptables,0.9.8,59
399,/usr/bin/docker,4.2.1-stable,37
400,/usr/bin/tcpdump,1.25.3,19
401,/usr/bin/ssh-agent,7.4.33,80
402,/usr/bin/tcpdump,3.0.0,14
403,/usr/bin/git,3.3.3,87
404,/bin/bash,1.21.0,87
405,/opt/spotify/spotify,2.4.52,69
406,/usr/bin/tmux,5.5.5,2
407,/usr/sbin/cron,22.04.1-LTS,96
408,/opt/vscode/code,4.8.1,16
409,/opt/spotify/spotify,4.2.1-stable,89
410,/usr/bin/unzip,1.0.0,56
411,/usr/local/bin/node,2.4.52,5
412,/usr/local/bin/node,5.0.0,21
413,/bin/systemd,4.0.0,35
414,/usr/bin/docker,0.2.4,7
415,/usr/bin/vim,4.0.0,92
416,/usr/local/bin/redis-server,4.4.4,19
417,/usr/sbin/sshd,1.4.2-hotfix,25
418,/usr/bin/perl,22.04.1-LTS,96
419,/usr/bin/sed,9.1.0,57
420,/usr/local/bin/node,2.0.0,35
421,/usr/bin/find,20.10.24,70
422,/usr/bin/git,9.1.0,5
423,/usr/bin/unzip,1.18.2,25
424,/opt/microsoft/powershell/pwsh,2.1.0-rc1,66
425,/usr/bin/find,2.5.1,94
426,/usr/bin/tmux,11.0.21,27
427,/usr/bin/java,17.0.8,22
428,/usr/bin/kubectl,1.0.0,64
429,/usr/bin/gcc,5.0.0,1
430,/usr/sbin/apache2,1.5.0,83
431,/usr/bin/zip,3.0.0-alpha,88
432,/usr/bin/tmux,0.2.4,95
433,/opt/microsoft/powershell/pwsh,1.2.1,46
434,/usr/bin/htop,3.3.3,9
435,/usr/sbin/dnsmasq,10.0.1,69
436,/usr/sbin/ufw,3.3.3,73
437,/usr/bin/gcc,5.4.0,66
438,/usr/bin/perl,1.21.0,67
439,/opt/vscode/code,2.5.1,82
440,/usr/bin/ssh-agent,3.3.3,31
441,/bin/bash,2.0.1-final,26
442,/usr/bin/docker,22.04.1-LTS,67
443,/usr/sbin/cron,0.9.9-dev,81
444,/usr/bin/docker,1.1.2,88
445,/usr/bin/rsync,2.0.1-final,56
446,/usr/bin/perl,2.4.52,26
447,/usr/sbin/ufw,1.2.0-beta,99
448,/usr/local/bin/redis-server,2.1.0-rc1,86
449,/opt/microsoft/powershell/pwsh,7.4.33,31
450,/usr/bin/kubectl,1.2.1,9
451,/usr/bin/ruby,3.1.2,28
452,/usr/bin/nmap,1.2.0-beta,62
453,/usr/bin/go,2.4.52,10
454,/usr/sbin/cron,1.21.0,35
455,/usr/bin/htop,0.9.8,89
456,/usr/bin/sed,1.1.2,8
457,/usr/local/bin/nginx,1.1.0,77
458,/usr/bin/top,1.2.1,50
459,/usr/bin/curl,5.10.0,27
460,/usr/bin/rsync,1.21.0,78
461,/usr/local/bin/postgres,0.1.0,60
462,/usr/bin/gcc,5.5.5,36
463,/usr/local/bin/postgres,20.10.24,91
464,/opt/google/chrome/chrome,2.5.1,99
465,/usr/bin/nmap,8.0.34,9
466,/usr/bin/top,10.0.1,86
467,/usr/bin/unzip,1.2.1,67
468,/opt/slack/slack,0.9.9-dev,34
469,/opt/vscode/code,0.9.8,19
470,/usr/bin/zip,4.0.0,2
471,/usr/bin/top,17.0.8,88
472,/usr/sbin/cron,4.2.1-stable,76
473,/opt/spotify/spotify,4.0.0,64
474,/opt/microsoft/powershell/pwsh,8.0.34,53
475,/opt/slack/slack,0.9.8,59
476,/usr/bin/zip,17.0.8,46
477,/usr/bin/make,0.9.8,24
478,/usr/bin/python3,10.0.1,31
479,/usr/sbin/iptables,4.4.4,46
480,/usr/bin/ruby,3.0.0-alpha,91
481,/usr/local/bin/terraform,1.4.2-hotfix,80
482,/usr/local/bin/ansible,2.2.0,38
483,/usr/local/bin/postgres,1.1.0,47
484,/usr/bin/make,0.9.9-dev,33
485,/opt/spotify/spotify,1.1.0,19
486,/usr/bin/go,20.10.24,54
487,/bin/bash,2.1.0-rc1,12
488,/usr/local/bin/postgres,10.0.1,60
489,/usr/bin/gcc,3.3.3,89
490,/usr/bin/sed,3.3.3,45
491,/usr/sbin/cron,7.4.33,62
492,/usr/sbin/cron,3.12.1,33
493,/usr/bin/awk,2.2.0,1
494,/usr/bin/strace,3.1.2,9
495,/usr/bin/zip,0.9.8,38
496,/usr/bin/grep,1.0.0-build882,61
497,/usr/sbin/ufw,3.3.3,9
498,/usr/bin/ffmpeg,1.21.0,91
499,/usr/bin/sed,2.4.52,76
500,/usr/sbin/iptables,2.0.1-final,78
