event_id,event_type,severity,description,pid
61,Debug_Snapshot_Created,Error,,51
62,User_Login_Session,Critical,,61
63,Patch_Applied_Successfully,Critical,,31
64,System_Clock_Sync,Error,,47
65,File_Lock_Acquired,Error,,15
66,Memory_Threshold_Reached,Warning,,100
67,Segmentation_Fault,Error,,62
68,Encryption_Key_Rotated,Warning,,83
69,Resource_Allocation_Success,Error,,59
70,Kernel_Panic_Warning,Critical,,14
71,Debug_Snapshot_Created,Warning,,97
72,Power_State_Change,Error,,43
73,Unauthorized_Access_Attempt,Info,,47
74,Garbage_Collection_End,Info,,9
75,Buffer_Overflow_Attempt,Critical,,21
76,Integrity_Check_Passed,Critical,,77
77,Config_File_Reload,Warning,,19
78,Update_Available,Warning,,20
79,Security_Audit_Failure,Error,,46
80,Disk_Write_Error,Critical,,18
81,Resource_Allocation_Failed,Info,,34
82,Out_Of_Memory_Kill,Critical,,46
83,Child_Process_Spawned,Error,,38
84,Network_Socket_Closed,Error,,13
85,Parent_Process_Exit,Warning,,18
86,Segmentation_Fault,Error,,50
87,Garbage_Collection_End,Error,,93
88,Thread_Pool_Exhausted,Warning,,40
89,Network_Socket_Closed,Warning,,64
90,Latency_Spike_Detected,Warning,,14
91,Zombie_Process_Cleanup,Critical,,2
92,Cron_Job_Triggered,Warning,,27
93,Input_Validation_Error,Info,,3
94,Thread_Pool_Exhausted,Info,,93
95,Out_Of_Memory_Kill,Critical,,45
96,System_Clock_Sync,Critical,,77
97,Resource_Allocation_Success,Critical,,77
98,Buffer_Overflow_Attempt,Info,,98
99,Segmentation_Fault,Warning,,92
100,Permission_Denied,Critical,,59
101,File_Lock_Acquired,Critical,,99
102,Cron_Job_Triggered,Error,,1
103,Zombie_Process_Cleanup,Error,,8
104,Port_Binding_Success,Info,,70
105,Service_Restart,Info,,57
106,Child_Process_Spawned,Warning,,5
107,User_Logout_Session,Info,,1
108,Encryption_Key_Rotated,Warning,,84
109,Config_File_Reload,Warning,,2
110,Process_Started,Info,,54
111,Input_Validation_Error,Critical,,73
112,Cron_Job_Triggered,Error,,20
113,Latency_Spike_Detected,Error,,40
114,Garbage_Collection_Start,Critical,,74
115,Log_Rotation_Triggered,Info,,79
116,Database_Connection_Lost,Warning,,25
117,Port_Conflict_Detected,Warning,,31
118,Kernel_Panic_Warning,Error,,16
119,Stack_Overflow_Detected,Warning,,79
120,Permission_Denied,Error,,14
121,Permission_Denied,Info,,94
122,Cache_Miss_Spike,Critical,,95
123,Port_Conflict_Detected,Info,,45
124,Security_Audit_Failure,Critical,,58
125,Cache_Miss_Spike,Error,,11
126,Zombie_Process_Cleanup,Info,,76
127,Network_Socket_Opened,Critical,,28
128,Out_Of_Memory_Kill,Info,,62
129,Core_Dump_Generated,Critical,,55
130,Memory_Threshold_Reached,Critical,,11
131,User_Logout_Session,Critical,,42
132,Config_File_Reload,Warning,,81
133,Thread_Pool_Exhausted,Critical,,74
134,Resource_Allocation_Success,Info,,42
135,User_Logout_Session,Warning,,70
136,Log_Rotation_Triggered,Info,,2
137,Memory_Threshold_Reached,Error,,1
138,Integrity_Check_Failed,Info,,17
139,Network_Socket_Opened,Critical,,48
140,Network_Socket_Opened,Error,,88
141,Parent_Process_Exit,Error,,47
142,Resource_Allocation_Failed,Warning,,86
143,Database_Connection_Established,Error,,24
144,Process_Started,Error,,75
145,Encryption_Key_Rotated,Warning,,31
146,Port_Binding_Success,Critical,,59
147,Cache_Miss_Spike,Info,,93
148,Kernel_Panic_Warning,Warning,,29
149,Memory_Threshold_Reached,Info,,22
150,Input_Validation_Error,Error,,50
151,Stack_Overflow_Detected,Warning,,23
152,Segmentation_Fault,Warning,,89
153,Core_Dump_Generated,Info,,74
154,Network_Socket_Opened,Error,,14
155,Thermal_Throttling_Active,Critical,,83
156,Network_Socket_Closed,Warning,,90
157,High_CPU_Usage,Warning,,1
158,Cache_Miss_Spike,Critical,,71
159,Child_Process_Spawned,Warning,,58
160,Idle_Timeout_Reached,Error,,67
161,API_Rate_Limit_Exceeded,Error,,55
162,Input_Validation_Error,Critical,,15
163,Process_Terminated,Info,,44
164,Parent_Process_Exit,Warning,,59
165,Memory_Threshold_Reached,Error,,36
166,Patch_Applied_Successfully,Critical,,71
167,Thermal_Throttling_Active,Info,,79
168,Patch_Applied_Successfully,Info,,88
169,Debug_Snapshot_Created,Info,,47
170,Resource_Allocation_Failed,Warning,,81
171,Resource_Allocation_Failed,Error,,1
172,Patch_Applied_Successfully,Warning,,88
173,Network_Socket_Closed,Info,,31
174,File_Lock_Released,Warning,,16
175,High_CPU_Usage,Critical,,72
176,Stack_Overflow_Detected,Critical,,66
177,Process_Started,Info,,27
178,Garbage_Collection_End,Warning,,55
179,Network_Socket_Opened,Warning,,77
180,Cron_Job_Triggered,Critical,,34
181,Kernel_Panic_Warning,Warning,,41
182,API_Rate_Limit_Exceeded,Info,,91
183,Cron_Job_Triggered,Critical,,24
184,Out_Of_Memory_Kill,Critical,,79
185,Log_Rotation_Triggered,Warning,,91
186,Network_Socket_Closed,Critical,,2
187,Latency_Spike_Detected,Critical,,51
188,Resource_Allocation_Success,Critical,,87
189,File_Lock_Acquired,Error,,67
190,File_Lock_Acquired,Error,,65
191,Database_Connection_Established,Error,,80
192,Garbage_Collection_Start,Info,,40
193,Core_Dump_Generated,Critical,,23
194,Core_Dump_Generated,Warning,,73
195,Latency_Spike_Detected,Critical,,3
196,Patch_Applied_Successfully,Info,,5
197,Unauthorized_Access_Attempt,Info,,98
198,Zombie_Process_Cleanup,Warning,,61
199,Database_Connection_Established,Error,,97
200,Disk_Write_Error,Info,,41
201,Config_File_Reload,Info,,31
202,Database_Connection_Established,Error,,90
203,Parent_Process_Exit,Info,,9
204,Network_Socket_Closed,Error,,74
205,Power_State_Change,Critical,,51
206,Port_Conflict_Detected,Warning,,54
207,Database_Connection_Lost,Warning,,44
208,Buffer_Overflow_Attempt,Critical,,31
209,Parent_Process_Exit,Warning,,90
210,Integrity_Check_Failed,Error,,34
211,Parent_Process_Exit,Warning,,69
212,Log_Rotation_Triggered,Info,,61
213,Encryption_Key_Rotated,Warning,,81
214,Unauthorized_Access_Attempt,Info,,70
215,Child_Process_Spawned,Error,,17
216,Resource_Allocation_Failed,Info,,57
217,Cron_Job_Triggered,Critical,,14
218,Segmentation_Fault,Warning,,16
219,Segmentation_Fault,Error,,11
220,Update_Available,Error,,83
221,Latency_Spike_Detected,Critical,,79
222,Security_Audit_Failure,Critical,,62
223,Garbage_Collection_End,Error,,74
224,High_CPU_Usage,Critical,,84
225,Unauthorized_Access_Attempt,Info,,71
226,Integrity_Check_Failed,Critical,,92
227,Debug_Snapshot_Created,Info,,87
228,Parent_Process_Exit,Warning,,63
229,Out_Of_Memory_Kill,Critical,,64
230,Cache_Miss_Spike,Info,,37
231,Zombie_Process_Cleanup,Error,,94
232,Service_Restart,Warning,,100
233,Memory_Threshold_Reached,Critical,,9
234,Process_Terminated,Warning,,16
235,Security_Audit_Failure,Error,,60
236,Config_File_Reload,Critical,,11
237,Power_State_Change,Warning,,78
238,Idle_Timeout_Reached,Warning,,73
239,Stack_Overflow_Detected,Warning,,8
240,Zombie_Process_Cleanup,Info,,65
241,Out_Of_Memory_Kill,Error,,83
242,Network_Socket_Opened,Critical,,90
243,Buffer_Overflow_Attempt,Error,,7
244,Garbage_Collection_Start,Error,,36
245,File_Lock_Released,Error,,23
246,Buffer_Overflow_Attempt,Info,,63
247,Resource_Allocation_Failed,Info,,89
248,Buffer_Overflow_Attempt,Critical,,47
249,Integrity_Check_Passed,Info,,98
250,Update_Available,Info,,34
251,Unauthorized_Access_Attempt,Critical,,2
252,Network_Socket_Opened,Warning,,31
253,Process_Started,Warning,,39
254,Unauthorized_Access_Attempt,Info,,1
255,Update_Available,Warning,,67
256,Database_Connection_Established,Critical,,67
257,Config_File_Reload,Info,,98
258,Thread_Pool_Exhausted,Info,,55
259,Stack_Overflow_Detected,Error,,14
260,Out_Of_Memory_Kill,Info,,81
261,Integrity_Check_Failed,Error,,20
262,Network_Socket_Opened,Info,,51
263,Garbage_Collection_Start,Info,,18
264,Power_State_Change,Critical,,80
265,Kernel_Panic_Warning,Critical,,64
266,Cron_Job_Triggered,Error,,71
267,System_Clock_Sync,Critical,,22
268,Parent_Process_Exit,Error,,50
269,Buffer_Overflow_Attempt,Critical,,73
270,Resource_Allocation_Failed,Critical,,88
271,Thread_Pool_Exhausted,Error,,29
272,Power_State_Change,Critical,,1
273,Kernel_Panic_Warning,Info,,75
274,Segmentation_Fault,Critical,,79
275,Zombie_Process_Cleanup,Warning,,86
276,User_Logout_Session,Warning,,66
277,Database_Connection_Established,Critical,,70
278,Stack_Overflow_Detected,Warning,,7
279,Resource_Allocation_Success,Error,,88
280,Debug_Snapshot_Created,Error,,2
281,Network_Socket_Closed,Critical,,83
282,Thermal_Throttling_Active,Critical,,78
283,Resource_Allocation_Success,Error,,81
284,Input_Validation_Error,Info,,61
285,Network_Socket_Opened,Error,,93
286,Unauthorized_Access_Attempt,Critical,,56
287,Cache_Miss_Spike,Error,,90
288,Integrity_Check_Passed,Error,,35
289,Memory_Threshold_Reached,Error,,27
290,API_Rate_Limit_Exceeded,Warning,,96
291,Update_Available,Warning,,80
292,Service_Restart,Error,,91
293,Process_Started,Error,,94
294,Integrity_Check_Failed,Error,,1
295,Log_Rotation_Triggered,Warning,,11
296,Child_Process_Spawned,Error,,4
297,High_CPU_Usage,Info,,76
298,Idle_Timeout_Reached,Info,,42
299,Security_Audit_Failure,Warning,,100
300,Core_Dump_Generated,Error,,13
301,API_Rate_Limit_Exceeded,Error,,100
302,Port_Binding_Success,Critical,,17
303,Out_Of_Memory_Kill,Error,,77
304,Patch_Applied_Successfully,Error,,30
305,Cache_Miss_Spike,Info,,87
306,User_Logout_Session,Error,,97
307,File_Lock_Released,Warning,,53
308,Port_Conflict_Detected,Critical,,12
309,Thermal_Throttling_Active,Error,,89
310,Integrity_Check_Failed,Info,,89
311,Resource_Allocation_Failed,Warning,,65
312,Buffer_Overflow_Attempt,Info,,80
313,Stack_Overflow_Detected,Error,,24
314,Database_Connection_Lost,Warning,,95
315,Process_Terminated,Error,,57
316,Memory_Threshold_Reached,Error,,78
317,Port_Conflict_Detected,Warning,,76
318,File_Lock_Released,Warning,,66
319,Disk_Write_Error,Info,,6
320,Network_Socket_Closed,Critical,,84
321,Buffer_Overflow_Attempt,Warning,,40
322,Patch_Applied_Successfully,Warning,,19
323,High_CPU_Usage,Error,,26
324,Zombie_Process_Cleanup,Info,,60
325,Idle_Timeout_Reached,Critical,,20
326,Thread_Pool_Exhausted,Info,,58
327,Integrity_Check_Passed,Warning,,4
328,Parent_Process_Exit,Warning,,40
329,Segmentation_Fault,Error,,65
330,Integrity_Check_Passed,Error,,42
331,Memory_Threshold_Reached,Info,,66
332,Out_Of_Memory_Kill,Critical,,89
333,Core_Dump_Generated,Info,,20
334,Cron_Job_Triggered,Info,,54
335,Patch_Applied_Successfully,Warning,,28
336,Network_Socket_Opened,Error,,60
337,Security_Audit_Failure,Warning,,69
338,Memory_Threshold_Reached,Info,,81
339,Buffer_Overflow_Attempt,Critical,,25
340,File_Lock_Acquired,Critical,,94
341,System_Clock_Sync,Info,,12
342,Process_Terminated,Info,,53
343,Encryption_Key_Rotated,Critical,,80
344,File_Lock_Released,Info,,79
345,Patch_Applied_Successfully,Error,,56
346,Power_State_Change,Warning,,98
347,Port_Binding_Success,Info,,46
348,Network_Socket_Opened,Error,,100
349,Database_Connection_Lost,Error,,48
350,Thermal_Throttling_Active,Error,,79
351,Disk_Write_Error,Info,,67
352,Patch_Applied_Successfully,Warning,,1
353,Child_Process_Spawned,Critical,,57
354,User_Logout_Session,Info,,5
355,Database_Connection_Lost,Error,,89
356,Integrity_Check_Failed,Error,,44
357,Network_Socket_Closed,Error,,93
358,Network_Socket_Opened,Critical,,43
359,API_Rate_Limit_Exceeded,Info,,44
360,Port_Conflict_Detected,Error,,68
361,Stack_Overflow_Detected,Warning,,34
362,API_Rate_Limit_Exceeded,Info,,3
363,Patch_Applied_Successfully,Info,,32
364,Database_Connection_Established,Error,,78
365,High_CPU_Usage,Error,,98
366,Child_Process_Spawned,Error,,7
367,Encryption_Key_Rotated,Critical,,59
368,Memory_Threshold_Reached,Critical,,98
369,Unauthorized_Access_Attempt,Info,,95
370,Cron_Job_Triggered,Info,,40
371,Unauthorized_Access_Attempt,Error,,22
372,Disk_Write_Error,Error,,65
373,Out_Of_Memory_Kill,Critical,,50
374,Log_Rotation_Triggered,Critical,,5
375,Service_Restart,Info,,31
376,Integrity_Check_Failed,Warning,,99
377,Integrity_Check_Failed,Warning,,35
378,Unauthorized_Access_Attempt,Critical,,80
379,Input_Validation_Error,Warning,,94
380,Garbage_Collection_End,Error,,12
381,Idle_Timeout_Reached,Error,,49
382,Process_Terminated,Critical,,75
383,Integrity_Check_Passed,Error,,83
384,Disk_Write_Error,Error,,78
385,User_Login_Session,Info,,70
386,Garbage_Collection_Start,Error,,97
387,Core_Dump_Generated,Warning,,30
388,Integrity_Check_Passed,Info,,92
389,Service_Restart,Info,,11
390,Unauthorized_Access_Attempt,Warning,,16
391,Thermal_Throttling_Active,Info,,84
392,Memory_Threshold_Reached,Info,,47
393,User_Logout_Session,Warning,,86
394,Process_Terminated,Error,,33
395,Process_Started,Critical,,2
396,Config_File_Reload,Error,,46
397,Resource_Allocation_Success,Info,,29
398,Cron_Job_Triggered,Info,,22
399,Database_Connection_Lost,Error,,12
400,Buffer_Overflow_Attempt,Error,,77
401,Process_Started,Critical,,41
402,Patch_Applied_Successfully,Warning,,53
403,Segmentation_Fault,Warning,,99
404,User_Login_Session,Error,,90
405,Parent_Process_Exit,Error,,69
406,Port_Conflict_Detected,Info,,32
407,Resource_Allocation_Success,Error,,88
408,Database_Connection_Lost,Info,,57
409,System_Clock_Sync,Warning,,31
410,Update_Available,Warning,,35
411,Network_Socket_Closed,Info,,79
412,Resource_Allocation_Success,Critical,,63
413,Port_Conflict_Detected,Warning,,40
414,Log_Rotation_Triggered,Error,,20
415,Security_Audit_Failure,Warning,,84
416,Thread_Pool_Exhausted,Info,,73
417,Child_Process_Spawned,Critical,,1
418,Port_Binding_Success,Error,,40
419,Permission_Denied,Warning,,32
420,High_CPU_Usage,Critical,,63
421,Zombie_Process_Cleanup,Warning,,54
422,Update_Available,Error,,69
423,Resource_Allocation_Failed,Info,,57
424,Idle_Timeout_Reached,Error,,69
425,Port_Binding_Success,Critical,,2
426,Encryption_Key_Rotated,Error,,34
427,Cron_Job_Triggered,Info,,70
428,Resource_Allocation_Success,Warning,,81
429,Port_Conflict_Detected,Error,,63
430,Process_Started,Error,,97
431,Resource_Allocation_Failed,Warning,,30
432,Cron_Job_Triggered,Warning,,44
433,Garbage_Collection_End,Critical,,88
434,Database_Connection_Lost,Info,,36
435,Log_Rotation_Triggered,Error,,97
436,Idle_Timeout_Reached,Warning,,13
437,Log_Rotation_Triggered,Error,,63
438,System_Clock_Sync,Info,,19
439,Resource_Allocation_Success,Error,,35
440,Integrity_Check_Passed,Critical,,45
441,Zombie_Process_Cleanup,Warning,,4
442,Garbage_Collection_End,Error,,59
443,Database_Connection_Lost,Warning,,67
444,Parent_Process_Exit,Critical,,31
445,Cron_Job_Triggered,Warning,,39
446,Process_Terminated,Critical,,16
447,Cache_Miss_Spike,Error,,3
448,Thermal_Throttling_Active,Error,,76
449,Idle_Timeout_Reached,Error,,100
450,Log_Rotation_Triggered,Warning,,100
451,System_Clock_Sync,Info,,59
452,Buffer_Overflow_Attempt,Warning,,8
453,Resource_Allocation_Failed,Info,,75
454,Network_Socket_Opened,Error,,15
455,System_Clock_Sync,Critical,,20
456,Process_Terminated,Error,,60
457,Input_Validation_Error,Critical,,10
458,Latency_Spike_Detected,Critical,,8
459,Garbage_Collection_Start,Critical,,96
460,Buffer_Overflow_Attempt,Error,,84
461,High_CPU_Usage,Info,,33
462,Parent_Process_Exit,Critical,,53
463,Latency_Spike_Detected,Warning,,59
464,Garbage_Collection_Start,Critical,,57
465,Debug_Snapshot_Created,Error,,38
466,Segmentation_Fault,Critical,,33
467,Cache_Miss_Spike,Critical,,28
468,Idle_Timeout_Reached,Critical,,38
469,Debug_Snapshot_Created,Warning,,83
470,Encryption_Key_Rotated,Info,,98
471,Input_Validation_Error,Critical,,78
472,Database_Connection_Established,Warning,,2
473,Parent_Process_Exit,Error,,57
474,Update_Available,Warning,,95
475,Cron_Job_Triggered,Info,,94
476,Encryption_Key_Rotated,Warning,,69
477,Config_File_Reload,Info,,4
478,Permission_Denied,Warning,,33
479,Parent_Process_Exit,Warning,,57
480,Parent_Process_Exit,Info,,10
481,User_Logout_Session,Info,,48
482,Process_Terminated,Warning,,24
483,Buffer_Overflow_Attempt,Warning,,68
484,Segmentation_Fault,Warning,,53
485,Cron_Job_Triggered,Error,,62
486,Debug_Snapshot_Created,Warning,,92
487,System_Clock_Sync,Warning,,97
488,File_Lock_Acquired,Warning,,30
489,Disk_Write_Error,Warning,,42
490,Latency_Spike_Detected,Error,,44
491,System_Clock_Sync,Critical,,80
492,Disk_Write_Error,Warning,,52
493,Permission_Denied,Warning,,29
494,Stack_Overflow_Detected,Error,,14
495,Security_Audit_Failure,Info,,35
496,Zombie_Process_Cleanup,Error,,41
497,User_Logout_Session,Warning,,13
498,Thread_Pool_Exhausted,Warning,,43
499,Input_Validation_Error,Info,,19
500,Patch_Applied_Successfully,Info,,65
