pid,process_name,start_time,status,user_id,exe_id,parent_pid
37,terraform,2025-12-29 11:10:53,Zombie,347,37,
38,ufw,2025-09-09 05:00:27,Stopped,262,38,30
39,redis-server,2025-10-11 15:02:00,Stopped,237,39,7
40,ssh-agent,2025-09-24 09:23:44,Zombie,150,40,51
41,docker,2026-03-14 13:25:00,Zombie,186,41,70
42,make,2025-08-05 20:45:00,Sleeping,245,42,
43,pwsh,2025-04-30 18:27:30,Stopped,157,43,
44,mongod,2025-03-28 14:57:53,Running,325,44,29
45,ssh-agent,2025-10-04 20:11:59,Sleeping,453,45,
46,wget,2025-10-05 15:18:37,Idle,189,46,89
47,code,2026-01-17 17:05:03,Zombie,426,47,1
48,vim,2025-11-19 03:25:38,Stopped,187,48,6
49,go,2026-01-17 09:42:54,Zombie,338,49,28
50,tmux,2026-02-19 10:03:25,Stopped,18,50,85
51,bash,2025-08-20 11:01:22,Sleeping,361,51,100
52,ssh-agent,2025-08-25 01:11:19,Stopped,323,52,2
53,strace,2025-11-22 11:04:08,Zombie,448,53,31
54,go,2026-01-28 20:56:53,Idle,139,54,81
55,unzip,2025-10-10 19:27:53,Idle,478,55,82
56,wget,2025-08-31 13:42:47,Stopped,220,56,
57,go,2025-05-29 14:25:38,Idle,87,57,
58,top,2025-04-06 01:36:55,Idle,489,58,34
59,pwsh,2025-04-03 07:35:39,Zombie,397,59,49
60,tcpdump,2025-10-19 12:22:50,Running,266,60,5
61,ansible,2026-01-23 22:29:23,Zombie,158,61,44
62,lsof,2025-12-27 16:17:57,Sleeping,482,62,14
63,cron,2025-10-10 01:14:08,Running,213,63,41
64,top,2026-01-20 13:03:10,Zombie,120,64,
65,spotify,2025-12-13 02:10:15,Stopped,315,65,
66,terraform,2025-07-16 18:00:23,Stopped,364,66,
67,tcpdump,2025-11-09 14:06:21,Sleeping,293,67,79
68,ufw,2025-07-14 19:06:36,Stopped,192,68,
69,ansible,2026-02-15 08:46:57,Idle,205,69,81
70,ansible,2025-05-27 20:21:41,Zombie,52,70,
71,perl,2025-11-13 03:37:34,Zombie,67,71,87
72,cron,2025-10-14 20:52:42,Stopped,347,72,40
73,git,2026-01-07 09:18:40,Sleeping,220,73,
74,spotify,2025-09-14 17:39:13,Sleeping,463,74,70
75,mongod,2026-03-06 02:41:57,Running,375,75,8
76,ffmpeg,2025-08-07 02:59:00,Idle,247,76,55
77,iptables,2026-01-22 18:54:44,Sleeping,496,77,
78,awk,2025-05-23 17:26:34,Zombie,304,78,81
79,ufw,2026-03-15 18:29:49,Sleeping,211,79,80
80,go,2025-07-31 05:13:12,Idle,48,80,87
81,kubectl,2025-12-15 00:02:58,Stopped,369,81,
82,spotify,2025-06-28 11:18:05,Stopped,367,82,33
83,tcpdump,2025-06-18 12:41:09,Zombie,263,83,91
84,dnsmasq,2025-10-14 17:15:34,Zombie,431,84,75
85,tmux,2025-10-27 19:02:16,Idle,468,85,42
86,tcpdump,2025-07-03 22:00:53,Sleeping,464,86,3
87,awk,2025-10-21 16:47:58,Zombie,435,87,
88,tmux,2025-07-08 21:41:45,Stopped,40,88,31
89,nmap,2025-07-16 08:10:01,Stopped,159,89,44
90,awk,2026-01-17 22:40:44,Stopped,281,90,6
91,grep,2025-10-02 18:37:27,Zombie,440,91,16
92,htop,2025-12-12 19:48:02,Running,10,92,
93,tcpdump,2025-07-05 00:35:20,Stopped,198,93,
94,find,2025-08-15 15:56:56,Stopped,64,94,24
95,sed,2025-09-26 01:22:46,Zombie,323,95,39
96,kubectl,2025-10-10 09:00:31,Running,432,96,69
97,postgres,2025-12-23 17:49:54,Idle,192,97,39
98,make,2025-07-12 12:55:48,Stopped,192,98,39
99,pwsh,2025-05-11 22:51:21,Idle,411,99,
100,terraform,2026-02-20 14:15:44,Stopped,74,100,44
101,cron,2025-05-19 01:58:24,Idle,215,101,
102,ansible,2025-08-12 03:02:45,Sleeping,440,102,85
103,python3,2025-07-07 09:36:36,Running,75,103,20
104,nmap,2025-05-21 08:55:23,Sleeping,452,104,78
105,chrome,2025-06-09 05:24:13,Running,466,105,8
106,git,2026-01-26 18:10:47,Zombie,173,106,19
107,spotify,2025-10-30 02:11:02,Sleeping,74,107,90
108,php,2025-04-14 00:50:18,Running,466,108,39
109,git,2026-02-06 07:42:31,Running,115,109,17
110,wget,2026-01-11 11:08:01,Zombie,168,110,
111,nginx,2026-01-12 16:47:23,Sleeping,347,111,
112,mongod,2025-09-05 12:15:50,Stopped,412,112,88
113,wget,2025-04-09 00:14:33,Zombie,241,113,62
114,curl,2026-01-11 10:59:43,Sleeping,226,114,30
115,ssh-agent,2026-01-02 00:13:57,Zombie,266,115,32
116,ruby,2025-09-24 05:45:51,Stopped,60,116,35
117,grep,2025-12-31 03:59:45,Idle,87,117,
118,make,2026-01-17 22:39:28,Sleeping,322,118,24
119,dnsmasq,2025-04-01 23:45:06,Running,35,119,
120,htop,2025-12-19 16:25:16,Zombie,348,120,
121,spotify,2025-06-04 17:46:18,Idle,3,121,66
122,iptables,2026-02-24 11:14:30,Stopped,268,122,51
123,ufw,2025-09-21 08:54:49,Sleeping,453,123,
124,java,2025-07-22 16:11:40,Running,349,124,
125,redis-server,2025-07-08 14:00:46,Zombie,140,125,
126,redis-server,2025-07-16 14:06:10,Stopped,73,126,51
127,wget,2025-06-01 20:39:50,Zombie,197,127,97
128,lsof,2025-06-06 03:49:59,Stopped,365,128,
129,node,2025-09-10 19:08:32,Stopped,274,129,37
130,awk,2025-12-19 23:12:41,Running,472,130,97
131,tmux,2025-07-01 15:39:45,Idle,89,131,6
132,pwsh,2026-03-19 17:18:40,Stopped,193,132,47
133,terraform,2025-05-20 03:08:05,Idle,241,133,93
134,kubectl,2025-10-15 21:47:39,Zombie,261,134,13
135,rsync,2025-07-22 14:26:07,Zombie,450,135,
136,sshd,2025-10-30 06:50:35,Zombie,296,136,52
137,docker,2025-04-20 22:58:26,Stopped,256,137,67
138,slack,2025-07-12 07:20:22,Idle,50,138,76
139,htop,2025-10-11 05:46:04,Stopped,174,139,67
140,curl,2025-07-10 13:47:00,Idle,198,140,
141,find,2025-07-05 08:47:08,Stopped,189,141,12
142,postgres,2025-10-03 01:53:07,Zombie,167,142,40
143,ansible,2026-03-04 08:30:53,Zombie,419,143,80
144,ruby,2025-11-04 19:12:29,Stopped,470,144,56
145,ufw,2025-11-01 09:38:05,Idle,407,145,64
146,unzip,2025-10-05 19:17:14,Zombie,371,146,25
147,python3,2025-04-08 04:11:21,Idle,294,147,87
148,unzip,2025-04-27 12:26:59,Stopped,149,148,26
149,find,2025-08-05 02:52:19,Zombie,207,149,
150,rsync,2025-10-04 11:17:57,Idle,251,150,24
151,terraform,2025-08-12 12:36:34,Running,471,151,
152,iptables,2025-07-23 10:31:07,Sleeping,358,152,
153,find,2026-01-20 22:42:53,Zombie,131,153,
154,pwsh,2025-07-04 10:12:50,Sleeping,133,154,81
155,sed,2025-07-04 08:25:09,Idle,160,155,
156,apache2,2025-09-08 14:56:43,Idle,446,156,88
157,ansible,2025-07-17 11:15:27,Sleeping,477,157,
158,ufw,2026-02-17 02:40:09,Zombie,139,158,99
159,sed,2026-02-23 14:57:00,Idle,89,159,88
160,grep,2026-02-02 06:28:31,Running,214,160,60
161,tmux,2026-02-27 01:56:32,Stopped,116,161,39
162,unzip,2026-03-08 19:27:02,Running,114,162,51
163,nmap,2025-05-27 08:07:22,Running,239,163,62
164,node,2025-07-01 04:57:06,Running,90,164,
165,slack,2025-12-14 07:30:07,Sleeping,161,165,52
166,vim,2025-04-14 19:28:42,Idle,448,166,94
167,nginx,2025-04-29 09:34:16,Sleeping,423,167,5
168,sed,2025-11-20 20:23:50,Stopped,237,168,94
169,htop,2025-11-14 14:24:01,Running,144,169,
170,java,2025-07-13 17:02:41,Running,190,170,
171,chrome,2025-06-14 05:52:10,Idle,168,171,
172,code,2025-12-20 08:03:06,Zombie,17,172,3
173,go,2026-02-11 12:20:37,Stopped,464,173,94
174,apache2,2025-09-28 18:44:43,Running,344,174,63
175,systemd,2026-01-25 22:03:54,Stopped,307,175,
176,grep,2025-08-30 00:13:00,Stopped,371,176,99
177,make,2026-02-11 21:33:15,Running,357,177,52
178,terraform,2025-09-11 16:34:23,Idle,15,178,43
179,grep,2025-07-09 14:14:17,Zombie,361,179,24
180,slack,2025-10-22 09:17:10,Idle,276,180,40
181,spotify,2025-07-27 22:30:33,Stopped,399,181,45
182,gcc,2026-02-07 05:27:05,Idle,17,182,72
183,code,2025-05-24 03:33:08,Sleeping,71,183,
184,dnsmasq,2025-10-29 06:39:33,Zombie,331,184,79
185,htop,2025-06-02 05:55:38,Zombie,215,185,14
186,lsof,2026-01-01 21:52:37,Sleeping,180,186,6
187,chrome,2025-08-05 01:09:27,Running,351,187,11
188,sshd,2025-10-23 04:58:29,Running,277,188,
189,nmap,2025-08-11 04:46:59,Stopped,323,189,57
190,docker,2026-03-04 03:43:47,Idle,323,190,
191,awk,2025-08-27 08:52:52,Stopped,24,191,76
192,lsof,2025-12-21 12:05:20,Idle,13,192,31
193,code,2025-08-04 20:23:54,Stopped,5,193,34
194,zip,2025-05-15 09:31:42,Zombie,279,194,89
195,htop,2025-07-04 19:21:40,Idle,317,195,69
196,perl,2025-04-03 22:39:47,Stopped,410,196,35
197,strace,2025-09-24 02:54:31,Stopped,304,197,7
198,awk,2025-05-19 13:57:58,Idle,175,198,67
199,dnsmasq,2025-10-22 20:45:02,Running,137,199,39
200,pwsh,2025-10-28 00:36:12,Stopped,127,200,96
201,ufw,2025-12-11 13:13:55,Running,371,201,53
202,ffmpeg,2025-04-14 19:42:33,Running,276,202,1
203,node,2025-12-01 19:46:11,Sleeping,422,203,17
204,ssh-agent,2025-07-03 21:25:35,Stopped,485,204,43
205,iptables,2025-09-08 13:21:13,Sleeping,75,205,93
206,php,2025-11-07 07:58:56,Stopped,496,206,99
207,ansible,2025-04-30 23:05:32,Zombie,412,207,27
208,grep,2025-10-31 23:53:39,Stopped,337,208,16
209,unzip,2025-10-14 04:32:22,Idle,313,209,
210,make,2025-10-31 03:07:40,Sleeping,326,210,
211,tcpdump,2026-02-10 02:29:17,Stopped,234,211,94
212,git,2025-09-19 02:20:52,Running,96,212,
213,ansible,2025-12-23 05:11:01,Zombie,360,213,52
214,redis-server,2026-01-06 09:32:45,Idle,394,214,77
215,tmux,2025-04-05 17:16:44,Zombie,494,215,72
216,sed,2025-04-02 06:24:19,Zombie,107,216,82
217,nmap,2025-11-23 22:39:13,Idle,224,217,12
218,systemd,2025-04-22 00:03:42,Zombie,398,218,10
219,docker,2025-04-17 14:18:14,Stopped,206,219,34
220,apache2,2026-01-14 08:13:41,Stopped,153,220,86
221,vim,2025-08-07 17:21:39,Sleeping,237,221,41
222,chrome,2025-08-08 18:54:24,Idle,351,222,82
223,systemd,2025-08-06 12:52:54,Stopped,304,223,
224,go,2025-11-24 18:02:00,Stopped,401,224,9
225,lsof,2026-02-28 12:00:04,Zombie,258,225,81
226,zip,2025-11-18 19:43:10,Running,356,226,68
227,code,2025-04-11 22:24:23,Idle,454,227,30
228,postgres,2025-07-30 10:46:52,Running,104,228,20
229,chrome,2025-08-30 13:13:11,Sleeping,400,229,16
230,nmap,2025-09-30 01:11:50,Stopped,186,230,97
231,strace,2026-01-04 16:54:41,Idle,400,231,55
232,tcpdump,2025-04-25 17:58:34,Sleeping,324,232,92
233,unzip,2025-07-08 16:58:53,Stopped,86,233,54
234,lsof,2025-07-25 22:58:31,Idle,297,234,
235,gcc,2026-02-10 23:08:42,Stopped,335,235,
236,slack,2025-04-22 11:17:45,Sleeping,158,236,21
237,kubectl,2025-07-27 04:55:38,Stopped,310,237,
238,zip,2025-08-30 20:39:39,Sleeping,276,238,4
239,unzip,2025-08-02 23:31:19,Running,183,239,11
240,curl,2025-08-20 17:20:36,Idle,95,240,
241,vim,2025-05-28 02:25:05,Idle,183,241,33
242,awk,2025-10-25 06:06:28,Stopped,132,242,31
243,terraform,2025-12-28 22:14:00,Idle,106,243,
244,go,2025-11-05 00:46:19,Idle,418,244,
245,ffmpeg,2025-09-02 09:37:28,Idle,483,245,
246,ruby,2026-02-25 12:19:58,Running,294,246,
247,chrome,2025-09-16 05:08:39,Sleeping,412,247,59
248,find,2025-07-11 01:34:15,Zombie,276,248,
249,cron,2025-11-10 10:21:59,Stopped,393,249,64
250,gcc,2025-08-08 23:20:30,Idle,307,250,
251,nginx,2025-12-24 21:44:41,Zombie,297,251,15
252,git,2025-04-19 23:58:22,Running,90,252,50
253,nginx,2026-01-05 16:27:54,Zombie,50,253,21
254,go,2025-06-04 23:22:40,Stopped,18,254,
255,git,2025-07-24 01:27:41,Stopped,205,255,91
256,find,2025-06-03 23:23:49,Idle,332,256,32
257,dnsmasq,2025-08-10 13:34:39,Idle,136,257,15
258,cron,2025-08-14 02:20:01,Idle,390,258,58
259,nmap,2025-10-21 08:19:30,Running,260,259,52
260,make,2025-09-08 02:48:35,Stopped,464,260,
261,nmap,2025-12-19 17:05:55,Running,473,261,86
262,kubectl,2025-12-22 15:49:23,Running,394,262,87
263,go,2025-07-12 16:24:57,Stopped,445,263,
264,wget,2025-09-05 07:27:56,Stopped,413,264,
265,find,2025-08-21 17:47:00,Sleeping,193,265,90
266,dnsmasq,2025-10-29 18:34:21,Stopped,276,266,57
267,slack,2025-04-04 09:47:18,Zombie,104,267,
268,awk,2025-05-29 19:45:41,Running,349,268,100
269,grep,2025-11-03 21:03:32,Stopped,58,269,54
270,zip,2025-09-01 15:11:30,Zombie,443,270,63
271,docker,2026-03-09 14:22:22,Zombie,441,271,94
272,curl,2025-12-14 06:27:46,Zombie,387,272,90
273,unzip,2025-06-01 00:46:39,Stopped,237,273,23
274,make,2025-08-12 01:23:24,Sleeping,110,274,30
275,tmux,2025-08-19 15:21:44,Sleeping,176,275,
276,docker,2026-01-19 02:19:03,Zombie,67,276,83
277,perl,2025-04-16 20:27:30,Sleeping,89,277,37
278,curl,2025-08-08 06:03:16,Running,278,278,22
279,unzip,2026-03-16 18:21:16,Stopped,476,279,32
280,chrome,2025-04-16 13:09:08,Zombie,440,280,
281,docker,2025-08-11 04:23:16,Idle,382,281,47
282,curl,2025-09-07 16:17:09,Stopped,146,282,
283,tmux,2025-04-01 02:30:12,Sleeping,267,283,57
284,vim,2025-09-22 02:53:42,Idle,496,284,
285,java,2025-11-27 06:10:29,Idle,105,285,82
286,top,2025-12-10 22:40:39,Sleeping,269,286,7
287,make,2025-11-12 03:05:05,Sleeping,35,287,
288,pwsh,2025-11-21 02:57:55,Sleeping,336,288,52
289,zip,2025-12-12 04:19:05,Zombie,195,289,36
290,tmux,2025-08-14 06:41:03,Sleeping,40,290,16
291,tmux,2025-05-28 05:45:45,Stopped,37,291,48
292,python3,2026-01-29 19:23:06,Sleeping,407,292,56
293,gcc,2025-09-28 19:45:03,Idle,379,293,72
294,git,2025-07-04 14:33:03,Idle,434,294,41
295,php,2025-09-19 09:46:59,Idle,153,295,15
296,tmux,2025-10-04 21:17:52,Running,93,296,49
297,cron,2025-06-01 05:51:39,Stopped,123,297,76
298,tmux,2026-02-26 16:11:40,Stopped,18,298,
299,curl,2025-09-18 04:11:20,Zombie,49,299,41
300,top,2025-05-31 14:30:15,Zombie,209,300,39
301,grep,2025-04-19 04:13:40,Sleeping,147,301,66
302,nmap,2026-03-13 19:23:12,Sleeping,270,302,19
303,postgres,2025-04-24 10:59:29,Stopped,277,303,55
304,strace,2025-08-26 07:03:42,Running,498,304,
305,gcc,2025-08-08 00:56:52,Sleeping,176,305,27
306,unzip,2025-05-15 05:59:34,Idle,4,306,78
307,python3,2025-06-03 02:27:16,Zombie,435,307,11
308,perl,2025-08-27 10:58:41,Stopped,323,308,67
309,iptables,2025-08-14 05:02:05,Idle,195,309,10
310,unzip,2025-12-13 02:50:17,Running,453,310,16
311,ssh-agent,2025-12-05 08:28:24,Sleeping,457,311,9
312,tmux,2025-06-05 19:08:32,Running,90,312,38
313,spotify,2025-12-06 18:41:40,Running,13,313,10
314,find,2025-12-21 11:47:56,Sleeping,299,314,83
315,code,2025-06-11 05:11:37,Idle,127,315,16
316,pwsh,2025-07-05 05:50:29,Idle,319,316,95
317,ufw,2025-07-02 06:15:47,Zombie,329,317,59
318,dnsmasq,2025-07-13 14:51:34,Zombie,398,318,
319,nginx,2025-04-30 04:20:13,Zombie,426,319,41
320,go,2025-04-30 07:56:30,Idle,262,320,7
321,tmux,2025-09-09 12:13:14,Idle,156,321,45
322,slack,2026-01-24 17:52:20,Running,370,322,70
323,bash,2025-05-20 08:40:44,Idle,291,323,1
324,ansible,2026-02-03 15:25:10,Sleeping,104,324,95
325,unzip,2025-12-24 15:35:23,Zombie,138,325,93
326,git,2026-01-03 12:27:15,Running,410,326,61
327,tcpdump,2025-08-20 13:34:29,Zombie,306,327,77
328,ssh-agent,2026-03-14 00:46:31,Sleeping,403,328,29
329,ffmpeg,2025-09-21 05:32:56,Stopped,35,329,90
330,systemd,2025-06-02 09:43:13,Sleeping,464,330,7
331,vim,2025-06-13 10:15:45,Sleeping,286,331,18
332,terraform,2025-12-02 00:26:09,Sleeping,361,332,92
333,postgres,2025-07-26 04:59:24,Running,165,333,15
334,lsof,2026-01-07 17:48:40,Idle,296,334,
335,java,2026-01-12 20:25:39,Sleeping,76,335,49
336,htop,2026-01-04 10:08:47,Sleeping,487,336,88
337,curl,2025-04-21 16:42:00,Idle,146,337,52
338,awk,2025-12-23 12:59:50,Stopped,416,338,72
339,postgres,2026-03-16 12:27:27,Stopped,333,339,96
340,lsof,2026-01-15 05:34:58,Idle,153,340,
341,pwsh,2026-03-04 21:40:37,Zombie,397,341,
342,make,2025-09-23 22:26:58,Idle,325,342,70
343,nmap,2025-04-23 08:11:24,Sleeping,208,343,45
344,apache2,2025-04-29 01:25:56,Idle,429,344,95
345,systemd,2026-03-11 11:36:02,Zombie,378,345,95
346,cron,2026-01-02 05:48:33,Stopped,79,346,100
347,php,2025-07-31 12:27:56,Zombie,61,347,6
348,kubectl,2026-02-03 06:48:15,Sleeping,264,348,71
349,docker,2025-07-02 03:20:25,Running,416,349,25
350,node,2025-04-20 13:16:34,Stopped,42,350,
351,unzip,2025-07-17 07:30:25,Stopped,336,351,93
352,nginx,2025-11-29 10:34:56,Zombie,287,352,47
353,gcc,2025-07-15 01:40:05,Running,222,353,45
354,zip,2025-05-26 01:24:42,Sleeping,99,354,
355,ssh-agent,2025-09-30 23:08:37,Sleeping,467,355,99
356,wget,2025-07-04 01:30:23,Running,372,356,91
357,gcc,2026-03-14 04:24:49,Running,233,357,14
358,tcpdump,2025-12-10 15:41:27,Zombie,187,358,23
359,strace,2026-02-24 19:21:03,Running,247,359,82
360,nginx,2026-02-16 03:52:43,Idle,162,360,53
361,dnsmasq,2025-08-31 19:02:42,Running,20,361,95
362,cron,2025-06-14 09:25:16,Running,41,362,24
363,nginx,2025-07-08 01:47:06,Zombie,438,363,80
364,wget,2025-09-24 07:47:12,Idle,297,364,29
365,nginx,2025-11-12 16:47:12,Sleeping,323,365,62
366,nmap,2026-01-30 18:10:00,Stopped,403,366,99
367,make,2025-04-23 19:23:09,Running,386,367,71
368,grep,2025-11-14 13:33:31,Stopped,49,368,
369,grep,2025-09-05 18:48:34,Running,178,369,60
370,pwsh,2025-06-15 06:08:30,Sleeping,324,370,36
371,apache2,2026-01-27 07:22:09,Running,163,371,86
372,grep,2026-03-10 07:25:21,Zombie,10,372,79
373,curl,2026-02-13 10:45:12,Running,259,373,
374,node,2026-02-10 16:47:58,Stopped,358,374,33
375,nmap,2026-03-23 13:11:42,Stopped,416,375,12
376,ansible,2025-09-21 09:49:14,Stopped,403,376,98
377,ufw,2025-08-25 11:37:50,Stopped,294,377,96
378,git,2025-06-08 07:52:45,Zombie,418,378,
379,systemd,2025-06-16 09:27:40,Running,147,379,30
380,ufw,2026-02-15 01:14:26,Idle,134,380,28
381,rsync,2025-09-27 17:23:10,Stopped,376,381,24
382,chrome,2025-12-24 22:58:32,Idle,43,382,19
383,dnsmasq,2025-06-15 08:59:11,Sleeping,473,383,68
384,docker,2026-01-24 12:57:03,Running,315,384,87
385,php,2025-12-30 01:26:12,Idle,390,385,
386,make,2026-03-16 00:14:42,Zombie,437,386,95
387,strace,2025-06-29 03:03:37,Idle,463,387,
388,chrome,2025-07-20 20:56:34,Running,441,388,75
389,sshd,2026-01-28 08:32:10,Idle,154,389,
390,nmap,2025-06-16 11:05:40,Sleeping,177,390,34
391,wget,2025-10-11 22:07:07,Idle,191,391,
392,unzip,2025-04-19 11:06:18,Stopped,394,392,60
393,sed,2025-05-30 02:10:53,Running,482,393,49
394,perl,2025-06-24 04:58:12,Zombie,341,394,90
395,sshd,2025-09-29 09:57:20,Sleeping,392,395,40
396,php,2025-12-18 03:53:50,Sleeping,457,396,21
397,node,2026-02-24 04:38:25,Stopped,417,397,73
398,iptables,2025-08-18 05:16:30,Running,177,398,
399,docker,2026-01-13 14:25:23,Sleeping,65,399,
400,tcpdump,2025-10-19 14:36:43,Stopped,218,400,32
401,ssh-agent,2025-04-22 17:17:29,Zombie,152,401,62
402,tcpdump,2025-12-21 10:16:18,Zombie,357,402,82
403,git,2025-07-27 17:02:19,Running,245,403,54
404,bash,2025-07-17 07:49:55,Running,466,404,9
405,spotify,2025-11-08 00:02:11,Sleeping,422,405,90
406,tmux,2025-06-29 17:20:20,Sleeping,382,406,38
407,cron,2025-08-05 13:47:18,Stopped,475,407,
408,code,2026-03-18 18:15:27,Zombie,53,408,1
409,spotify,2026-02-07 21:16:19,Sleeping,319,409,
410,unzip,2025-06-14 12:16:17,Idle,128,410,49
411,node,2025-04-05 09:08:23,Idle,352,411,3
412,node,2025-10-26 16:36:16,Stopped,96,412,17
413,systemd,2025-03-30 18:27:29,Sleeping,160,413,27
414,docker,2025-10-03 19:54:31,Idle,400,414,
415,vim,2025-05-28 14:45:59,Running,166,415,
416,redis-server,2025-11-25 01:10:16,Idle,98,416,61
417,sshd,2025-06-07 23:32:04,Idle,103,417,68
418,perl,2025-07-06 06:52:42,Running,244,418,96
419,sed,2025-06-11 07:57:45,Idle,130,419,47
420,node,2025-05-23 13:32:39,Idle,26,420,75
421,find,2025-09-26 12:35:50,Sleeping,281,421,
422,git,2025-06-09 20:20:52,Sleeping,331,422,62
423,unzip,2026-02-08 20:51:26,Running,353,423,26
424,pwsh,2025-10-25 11:38:26,Sleeping,276,424,
425,find,2025-05-18 23:29:25,Running,214,425,41
426,tmux,2025-07-07 19:44:57,Sleeping,31,426,33
427,java,2025-09-25 00:16:18,Running,52,427,41
428,kubectl,2025-09-07 23:59:48,Zombie,67,428,73
429,gcc,2025-06-30 03:47:20,Stopped,359,429,69
430,apache2,2025-12-08 08:20:24,Stopped,37,430,15
431,zip,2025-10-25 04:42:46,Zombie,138,431,
432,tmux,2025-12-28 12:16:25,Zombie,170,432,72
433,pwsh,2025-09-10 04:50:08,Stopped,212,433,65
434,htop,2026-02-20 16:53:58,Running,33,434,13
435,dnsmasq,2025-11-05 16:04:33,Idle,55,435,10
436,ufw,2025-04-03 00:47:57,Zombie,62,436,68
437,gcc,2025-07-28 05:19:55,Sleeping,169,437,33
438,perl,2025-10-20 18:16:15,Idle,347,438,
439,code,2025-11-11 23:36:09,Zombie,54,439,4
440,ssh-agent,2025-04-09 11:51:45,Stopped,116,440,
441,bash,2025-06-28 09:15:06,Idle,152,441,83
442,docker,2025-07-19 10:40:32,Sleeping,445,442,84
443,cron,2025-12-24 04:18:21,Stopped,100,443,61
444,docker,2026-02-09 17:31:21,Stopped,254,444,85
445,rsync,2026-02-03 08:02:34,Idle,394,445,44
446,perl,2026-03-03 21:08:53,Sleeping,460,446,96
447,ufw,2026-01-21 21:11:42,Sleeping,396,447,
448,redis-server,2025-11-07 23:08:20,Sleeping,172,448,1
449,pwsh,2026-01-25 02:53:53,Running,331,449,83
450,kubectl,2026-01-11 04:27:31,Sleeping,80,450,
451,ruby,2026-01-28 09:23:58,Stopped,122,451,72
452,nmap,2025-05-15 17:04:11,Stopped,120,452,
453,go,2025-07-07 10:19:52,Running,200,453,
454,cron,2025-10-16 12:50:49,Sleeping,251,454,1
455,htop,2026-02-07 23:19:12,Stopped,57,455,23
456,sed,2025-04-09 01:14:44,Sleeping,338,456,70
457,nginx,2025-09-24 13:39:56,Zombie,319,457,64
458,top,2026-03-19 02:21:54,Running,235,458,42
459,curl,2025-06-13 00:26:32,Stopped,66,459,81
460,rsync,2026-01-10 14:17:18,Sleeping,14,460,56
461,postgres,2026-02-08 22:06:26,Idle,393,461,
462,gcc,2025-06-23 03:50:20,Running,390,462,21
463,postgres,2026-03-08 00:35:03,Stopped,489,463,9
464,chrome,2025-09-22 18:50:36,Zombie,228,464,29
465,nmap,2025-08-12 16:58:11,Zombie,215,465,88
466,top,2025-07-01 01:40:11,Idle,343,466,84
467,unzip,2025-08-04 17:57:13,Zombie,44,467,
468,slack,2025-06-19 21:36:48,Stopped,87,468,66
469,code,2026-03-01 04:22:36,Idle,24,469,12
470,zip,2025-11-14 11:23:54,Running,357,470,90
471,top,2025-04-04 07:43:55,Stopped,67,471,3
472,cron,2025-06-26 12:00:00,Stopped,111,472,
473,spotify,2025-05-11 23:35:19,Stopped,57,473,43
474,pwsh,2026-02-03 00:36:51,Stopped,435,474,97
475,slack,2025-08-04 03:14:00,Zombie,319,475,7
476,zip,2025-07-06 10:05:30,Zombie,324,476,
477,make,2025-09-09 22:40:16,Stopped,208,477,
478,python3,2025-08-14 14:02:27,Stopped,87,478,25
479,iptables,2026-03-12 19:41:29,Running,386,479,40
480,ruby,2025-08-24 13:42:19,Stopped,26,480,88
