alloc_id,resource_request_id,amount_requested,is_active,resource_id,pid
152,9270,74,false,112,308
153,4671,66,false,122,247
154,2053,91,true,25,248
155,1971,42,true,400,18
156,6037,38,true,463,254
157,210,44,false,41,469
158,5338,59,true,321,4
159,247,12,false,137,400
160,8118,14,true,190,343
161,7360,72,false,56,271
162,1172,45,false,248,198
163,5666,83,true,140,286
164,8639,48,false,303,355
165,344,73,true,249,42
166,6290,87,true,281,413
167,4719,72,false,457,161
168,3748,7,false,73,178
169,1663,29,false,299,368
170,8397,65,true,244,318
171,424,94,true,350,265
172,8750,11,true,434,55
173,9761,99,false,294,271
174,8740,33,true,49,377
175,9309,97,false,377,27
176,3334,36,true,398,428
177,2068,93,true,120,377
178,1426,51,false,477,6
179,8769,8,false,434,11
180,9167,15,true,197,120
181,8976,95,true,13,76
182,2349,8,false,424,131
183,6892,51,true,85,3
184,2334,81,false,187,234
185,1040,95,true,456,55
186,8921,20,true,412,381
187,544,46,false,156,163
188,5,55,true,432,223
189,7036,34,true,432,302
190,1643,40,true,129,457
191,5093,9,true,139,359
192,7140,40,true,80,494
193,6928,49,true,201,158
194,8319,99,true,186,204
195,1063,58,true,392,119
196,9173,3,false,415,426
197,9781,51,false,74,364
198,6048,51,false,329,38
199,7396,15,false,316,372
200,3691,74,false,429,279
201,9235,26,true,128,62
202,1517,23,true,322,388
203,8567,51,true,277,276
204,3316,54,true,148,467
205,5087,68,false,1,65
206,5763,90,true,408,355
207,6734,66,true,129,138
208,9994,83,true,256,189
209,4769,30,true,31,265
210,3804,76,true,277,488
211,8859,74,false,410,199
212,3523,63,false,92,482
213,7010,26,true,285,439
214,5027,14,false,191,262
215,396,93,false,131,306
216,668,66,false,321,433
217,6447,55,true,190,386
218,9237,45,false,95,12
219,6857,15,true,52,63
220,8014,55,false,235,14
221,9070,57,true,128,356
222,9819,68,true,484,380
223,1949,11,true,374,222
224,6112,8,false,319,133
225,9979,50,true,344,182
226,704,35,false,301,395
227,7643,100,true,283,218
228,9027,40,true,429,254
229,9834,73,false,13,369
230,927,52,true,55,424
231,2409,11,false,97,419
232,840,30,false,274,48
233,757,83,false,297,342
234,8225,7,true,73,289
235,4667,37,false,130,468
236,6621,50,false,477,261
237,2715,10,false,461,38
238,3065,60,true,4,44
239,9499,8,false,320,243
240,9614,99,true,211,5
241,8724,63,true,313,226
242,178,34,false,309,459
243,6492,76,true,379,62
244,8115,42,true,139,311
245,9724,19,false,97,177
246,4940,51,true,444,465
247,726,68,true,12,101
248,6193,93,false,292,123
249,9412,59,false,468,321
250,3997,39,false,50,313
251,3901,20,false,156,280
252,1157,18,false,354,11
253,445,96,true,138,379
254,7369,73,true,130,141
255,296,36,true,168,43
256,9805,97,false,23,444
257,4048,12,false,203,107
258,8150,82,true,390,374
259,3130,46,true,424,372
260,8271,47,false,68,88
261,6508,90,true,327,191
262,6115,89,false,342,482
263,3685,9,false,442,134
264,62,46,false,338,25
265,9999,29,true,462,7
266,4768,7,true,439,103
267,5370,8,true,409,309
268,9001,38,true,348,246
269,7376,8,true,447,110
270,1480,82,false,348,5
271,7380,1,true,439,336
272,5162,91,true,19,329
273,1869,47,false,215,118
274,8839,68,false,260,97
275,4729,9,true,427,114
276,4934,21,true,41,177
277,8861,63,true,404,102
278,2566,81,false,454,406
279,7740,85,false,315,397
280,6490,100,false,413,256
281,5715,96,true,174,452
282,1076,63,true,404,37
283,4623,1,false,461,47
284,513,82,true,359,112
285,1042,94,false,103,459
286,5351,59,true,423,117
287,7000,66,true,225,352
288,9799,39,true,60,482
289,8159,33,true,475,230
290,236,30,true,83,303
291,1011,3,false,264,497
292,1662,86,false,274,417
293,4898,96,true,254,131
294,37,25,false,193,143
295,4064,5,false,55,304
296,1671,43,false,130,40
297,1800,56,true,26,210
298,6743,92,true,329,20
299,3444,68,true,188,428
300,5967,59,true,428,438
301,8690,35,true,176,488
302,2133,64,true,433,443
303,2091,81,true,149,253
304,2748,14,false,496,173
305,7591,79,true,262,302
306,6806,41,false,288,50
307,2407,68,false,89,230
308,8837,79,true,176,285
309,2331,45,true,230,481
310,5538,84,false,466,205
311,8213,35,false,297,187
312,2980,63,true,127,50
313,268,82,false,268,53
314,7619,5,false,78,342
315,4538,91,true,446,12
316,8174,63,false,227,369
317,5135,46,true,238,437
318,793,40,false,294,4
319,8564,24,true,261,417
320,5304,31,true,15,120
321,5898,14,true,257,324
322,8364,77,false,245,415
323,7641,31,false,164,428
324,6634,95,false,245,47
325,5394,95,true,342,44
326,1580,96,true,264,69
327,9092,2,true,354,185
328,7267,25,true,213,4
329,3690,53,true,325,74
330,4747,98,true,139,338
331,7796,41,true,271,433
332,9667,86,false,89,317
333,4931,37,true,39,474
334,7026,34,true,31,279
335,1643,96,false,33,277
336,9962,19,false,340,207
337,5576,75,false,262,410
338,9472,28,false,370,196
339,7023,53,false,389,197
340,4604,92,false,148,33
341,930,7,false,8,44
342,4440,39,true,99,311
343,5815,92,true,51,455
344,201,27,true,348,419
345,7169,66,false,372,241
346,6978,86,true,422,69
347,3060,70,true,8,330
348,7159,65,false,416,283
349,9679,5,false,13,45
350,852,23,false,111,468
351,382,81,true,45,133
352,7420,19,false,79,114
353,9199,91,true,376,406
354,621,8,true,41,95
355,5408,78,false,113,394
356,4088,33,false,416,426
357,3911,47,false,12,121
358,9237,4,true,120,463
359,1647,81,true,207,102
360,7595,6,false,120,485
361,6578,66,false,109,31
362,8135,56,true,118,430
363,5361,44,false,187,54
364,3474,11,true,190,419
365,8517,24,true,413,131
366,5855,64,true,485,195
367,1985,36,true,324,16
368,4733,97,true,79,95
369,5776,74,false,397,273
370,2664,90,false,478,431
371,3607,50,true,390,299
372,9495,62,true,468,406
373,3179,35,true,239,140
374,6827,44,true,174,288
375,1569,86,false,179,194
376,3375,5,true,445,400
377,2511,8,true,170,251
378,4773,41,true,422,50
379,3626,24,true,180,224
380,4188,46,false,238,9
381,7643,25,true,323,145
382,9477,46,false,134,286
383,195,5,false,284,8
384,443,68,true,15,212
385,2044,11,false,375,176
386,7874,52,true,173,353
387,7756,22,false,38,162
388,4217,98,false,264,310
389,4612,58,false,163,467
390,2722,16,false,294,497
391,4100,34,false,452,168
392,2681,56,false,159,174
393,6026,98,false,72,126
394,7967,58,true,62,228
395,8348,28,true,162,388
396,1224,66,false,383,60
397,1885,56,false,110,394
398,7987,56,true,413,406
399,1881,55,true,239,335
400,9566,57,true,453,454
401,191,58,false,353,366
402,9353,82,false,267,137
403,7477,69,true,9,65
404,3201,11,false,100,423
405,1930,39,true,90,1
406,8592,69,false,470,165
407,1211,72,false,448,380
408,5515,61,false,175,423
409,1189,22,true,432,235
410,8045,11,true,335,222
411,6519,4,false,198,159
412,2948,41,false,493,36
413,1293,5,false,252,73
414,8413,56,true,480,48
415,7500,81,true,402,217
416,9106,67,true,19,373
417,9731,93,true,414,458
418,4164,3,true,369,63
419,110,22,false,146,286
420,1315,46,true,115,449
421,6963,6,false,360,256
422,6455,82,true,202,58
423,9523,53,false,151,174
424,3875,92,true,284,306
425,4900,52,false,83,169
426,6157,49,false,230,413
427,2716,19,true,18,179
428,2508,89,true,495,486
429,1725,9,false,65,421
430,2018,48,true,198,358
431,4927,26,false,191,310
432,9166,36,true,439,492
433,1185,85,true,214,320
434,2832,58,false,374,269
435,6878,38,true,487,346
436,9975,18,true,196,294
437,9901,23,true,89,468
438,6159,51,false,144,109
439,4028,44,false,48,306
440,2328,42,false,115,103
441,1267,60,true,28,306
442,2658,83,true,84,321
443,1685,80,false,243,149
444,6596,16,true,166,404
445,618,55,false,485,302
446,3539,36,false,183,203
447,4339,50,false,297,472
448,1214,34,true,6,111
449,337,66,true,211,342
450,9456,48,false,70,10
451,2939,30,false,119,251
452,3732,81,false,188,500
453,7259,23,true,474,165
454,5020,75,true,215,388
455,7868,28,false,430,9
456,4412,98,true,402,202
457,5156,49,false,218,455
458,8879,88,false,284,258
459,8759,76,true,36,27
460,8474,95,false,126,251
461,5961,31,true,400,86
462,3320,27,false,79,92
463,557,56,false,378,145
464,6412,18,false,204,146
465,8058,53,false,122,447
466,6652,57,true,341,167
467,9296,43,true,41,216
468,8960,89,false,398,452
469,601,18,false,151,246
470,8667,12,false,32,294
471,9371,98,true,458,140
472,384,19,false,19,320
473,8654,37,true,140,397
474,2881,92,false,394,415
475,885,18,true,250,85
476,9144,54,false,280,175
477,49,49,true,238,245
478,3653,7,false,417,143
479,9398,47,true,338,392
480,3752,48,false,293,267
481,8736,91,false,145,191
482,9174,9,false,404,404
483,214,98,true,163,303
484,397,35,true,28,208
485,2380,90,true,350,86
486,320,92,false,146,249
487,8630,94,false,459,159
488,9868,4,false,46,473
489,1262,63,false,350,348
490,8541,6,false,116,176
491,9170,49,true,100,466
492,8621,25,true,491,278
493,3974,84,false,61,422
494,8588,31,false,376,205
495,1423,85,false,223,212
496,6261,62,true,10,191
497,8841,46,true,139,376
498,8919,3,true,239,437
499,8261,62,false,14,183
500,7692,25,true,155,407
