log_id,snapshot_time,cpu_percent,ram_usage_mb,pid
204,2026-04-09 22:53:34,13.05,10510,10
205,2026-04-09 22:53:39,67.91,3942,105
206,2026-04-09 22:53:44,89.68,477,220
207,2026-04-09 22:53:49,85.86,11306,133
208,2026-04-09 22:53:54,83.68,2943,108
209,2026-04-09 22:53:59,80.79,16043,379
210,2026-04-09 22:54:04,45.3,11799,3
211,2026-04-09 22:54:09,10.76,8309,208
212,2026-04-09 22:54:14,39.21,10773,117
213,2026-04-09 22:54:19,21.9,3556,66
214,2026-04-09 22:54:24,91.71,1876,272
215,2026-04-09 22:54:29,8.79,9145,120
216,2026-04-09 22:54:34,24.89,14557,336
217,2026-04-09 22:54:39,4.7,8066,135
218,2026-04-09 22:54:44,60.48,15459,69
219,2026-04-09 22:54:49,82.5,4825,181
220,2026-04-09 22:54:54,72.69,9140,357
221,2026-04-09 22:54:59,4.66,1576,211
222,2026-04-09 22:55:04,18.12,8339,89
223,2026-04-09 22:55:09,62.08,9035,108
224,2026-04-09 22:55:14,38.88,905,289
225,2026-04-09 22:55:19,95.59,5198,144
226,2026-04-09 22:55:24,51.14,13452,271
227,2026-04-09 22:55:29,47.97,12994,232
228,2026-04-09 22:55:34,54.76,8052,235
229,2026-04-09 22:55:39,18.36,9650,225
230,2026-04-09 22:55:44,16.59,14226,106
231,2026-04-09 22:55:49,44.42,13900,338
232,2026-04-09 22:55:54,39.72,1670,430
233,2026-04-09 22:55:59,29.78,5949,409
234,2026-04-09 22:56:04,38.27,3993,57
235,2026-04-09 22:56:09,21.94,11611,77
236,2026-04-09 22:56:14,35.56,12244,381
237,2026-04-09 22:56:19,20.38,14778,378
238,2026-04-09 22:56:24,70.6,8097,205
239,2026-04-09 22:56:29,92.36,7333,208
240,2026-04-09 22:56:34,6.59,5779,42
241,2026-04-09 22:56:39,96.68,6900,79
242,2026-04-09 22:56:44,49.23,12101,419
243,2026-04-09 22:56:49,42.37,6545,447
244,2026-04-09 22:56:54,45.02,11982,338
245,2026-04-09 22:56:59,17.33,9476,367
246,2026-04-09 22:57:04,24.66,2836,336
247,2026-04-09 22:57:09,60.66,523,18
248,2026-04-09 22:57:14,81.81,16145,246
249,2026-04-09 22:57:19,78.92,9101,237
250,2026-04-09 22:57:24,34.9,15520,222
251,2026-04-09 22:57:29,69.25,9067,199
252,2026-04-09 22:57:34,89.39,12929,227
253,2026-04-09 22:57:39,95.07,12094,475
254,2026-04-09 22:57:44,66.18,12630,263
255,2026-04-09 22:57:49,56.27,2747,221
256,2026-04-09 22:57:54,65.88,14087,487
257,2026-04-09 22:57:59,90.0,14117,20
258,2026-04-09 22:58:04,48.73,366,340
259,2026-04-09 22:58:09,82.63,13309,52
260,2026-04-09 22:58:14,67.63,3462,423
261,2026-04-09 22:58:19,80.76,5082,20
262,2026-04-09 22:58:24,18.46,12384,339
263,2026-04-09 22:58:29,32.56,8326,418
264,2026-04-09 22:58:34,50.87,6728,297
265,2026-04-09 22:58:39,49.97,352,226
266,2026-04-09 22:58:44,96.18,10201,349
267,2026-04-09 22:58:49,54.65,1504,282
268,2026-04-09 22:58:54,8.92,1978,492
269,2026-04-09 22:58:59,6.13,15944,232
270,2026-04-09 22:59:04,33.47,9797,378
271,2026-04-09 22:59:09,93.79,5655,449
272,2026-04-09 22:59:14,71.17,6713,202
273,2026-04-09 22:59:19,86.78,2448,43
274,2026-04-09 22:59:24,54.81,1703,476
275,2026-04-09 22:59:29,81.36,895,257
276,2026-04-09 22:59:34,18.18,13453,146
277,2026-04-09 22:59:39,59.83,2627,20
278,2026-04-09 22:59:44,46.58,9465,259
279,2026-04-09 22:59:49,12.47,6369,364
280,2026-04-09 22:59:54,19.69,15612,500
281,2026-04-09 22:59:59,72.77,13599,82
282,2026-04-09 23:00:04,40.12,8507,46
283,2026-04-09 23:00:09,44.17,12856,446
284,2026-04-09 23:00:14,57.15,11374,309
285,2026-04-09 23:00:19,34.27,4466,12
286,2026-04-09 23:00:24,73.63,15419,305
287,2026-04-09 23:00:29,52.88,5902,398
288,2026-04-09 23:00:34,46.03,3415,438
289,2026-04-09 23:00:39,13.03,2780,107
290,2026-04-09 23:00:44,77.44,9905,395
291,2026-04-09 23:00:49,46.35,10982,55
292,2026-04-09 23:00:54,71.03,11532,133
293,2026-04-09 23:00:59,3.29,3576,412
294,2026-04-09 23:01:04,39.2,7046,66
295,2026-04-09 23:01:09,52.12,8203,251
296,2026-04-09 23:01:14,41.31,10973,249
297,2026-04-09 23:01:19,2.8,8244,451
298,2026-04-09 23:01:24,16.81,245,2
299,2026-04-09 23:01:29,25.77,9351,476
300,2026-04-09 23:01:34,89.68,11835,372
301,2026-04-09 23:01:39,4.33,7323,278
302,2026-04-09 23:01:44,31.72,10495,99
303,2026-04-09 23:01:49,69.82,13621,343
304,2026-04-09 23:01:54,74.72,12639,334
305,2026-04-09 23:01:59,22.75,1500,89
306,2026-04-09 23:02:04,43.92,13419,137
307,2026-04-09 23:02:09,16.93,368,48
308,2026-04-09 23:02:14,14.46,194,245
309,2026-04-09 23:02:19,47.84,11956,113
310,2026-04-09 23:02:24,75.8,3287,209
311,2026-04-09 23:02:29,81.04,10537,107
312,2026-04-09 23:02:34,62.83,15289,346
313,2026-04-09 23:02:39,5.99,657,423
314,2026-04-09 23:02:44,87.38,807,210
315,2026-04-09 23:02:49,63.26,10055,95
316,2026-04-09 23:02:54,17.52,7089,148
317,2026-04-09 23:02:59,58.79,6231,268
318,2026-04-09 23:03:04,4.7,1991,173
319,2026-04-09 23:03:09,24.24,15503,388
320,2026-04-09 23:03:14,20.04,9540,349
321,2026-04-09 23:03:19,74.5,9264,66
322,2026-04-09 23:03:24,42.82,7136,48
323,2026-04-09 23:03:29,77.46,13171,133
324,2026-04-09 23:03:34,45.71,11315,225
325,2026-04-09 23:03:39,30.88,5905,35
326,2026-04-09 23:03:44,13.83,8849,147
327,2026-04-09 23:03:49,25.27,15654,260
328,2026-04-09 23:03:54,76.01,8091,137
329,2026-04-09 23:03:59,63.68,14368,125
330,2026-04-09 23:04:04,27.07,14331,104
331,2026-04-09 23:04:09,51.43,10612,349
332,2026-04-09 23:04:14,59.18,13837,167
333,2026-04-09 23:04:19,46.48,13916,338
334,2026-04-09 23:04:24,51.38,7461,159
335,2026-04-09 23:04:29,48.94,14305,334
336,2026-04-09 23:04:34,52.46,8563,392
337,2026-04-09 23:04:39,10.29,11372,454
338,2026-04-09 23:04:44,4.73,12216,485
339,2026-04-09 23:04:49,82.52,8313,498
340,2026-04-09 23:04:54,4.29,1761,435
341,2026-04-09 23:04:59,72.81,10584,195
342,2026-04-09 23:05:04,94.99,14998,282
343,2026-04-09 23:05:09,3.55,1341,196
344,2026-04-09 23:05:14,84.18,5959,107
345,2026-04-09 23:05:19,80.91,6825,376
346,2026-04-09 23:05:24,40.38,8382,442
347,2026-04-09 23:05:29,24.05,14225,139
348,2026-04-09 23:05:34,55.96,3998,265
349,2026-04-09 23:05:39,24.53,13567,249
350,2026-04-09 23:05:44,84.67,14854,219
351,2026-04-09 23:05:49,51.47,11668,212
352,2026-04-09 23:05:54,81.9,15319,114
353,2026-04-09 23:05:59,8.11,2040,28
354,2026-04-09 23:06:04,70.62,3490,126
355,2026-04-09 23:06:09,34.69,2387,290
356,2026-04-09 23:06:14,1.65,2021,85
357,2026-04-09 23:06:19,69.78,14163,146
358,2026-04-09 23:06:24,18.17,4011,408
359,2026-04-09 23:06:29,77.06,7983,112
360,2026-04-09 23:06:34,0.54,9668,421
361,2026-04-09 23:06:39,84.43,10278,74
362,2026-04-09 23:06:44,4.79,1972,407
363,2026-04-09 23:06:49,29.2,6249,113
364,2026-04-09 23:06:54,71.17,5901,225
365,2026-04-09 23:06:59,13.49,13142,293
366,2026-04-09 23:07:04,24.16,13486,147
367,2026-04-09 23:07:09,51.86,571,225
368,2026-04-09 23:07:14,19.41,8813,358
369,2026-04-09 23:07:19,36.39,8417,418
370,2026-04-09 23:07:24,45.69,11519,86
371,2026-04-09 23:07:29,56.88,15291,137
372,2026-04-09 23:07:34,94.79,6511,418
373,2026-04-09 23:07:39,45.5,11167,385
374,2026-04-09 23:07:44,93.3,359,81
375,2026-04-09 23:07:49,81.1,14642,40
376,2026-04-09 23:07:54,1.64,10565,8
377,2026-04-09 23:07:59,66.91,3892,347
378,2026-04-09 23:08:04,96.61,13298,241
379,2026-04-09 23:08:09,42.53,5181,75
380,2026-04-09 23:08:14,93.98,2516,356
381,2026-04-09 23:08:19,48.03,2193,468
382,2026-04-09 23:08:24,69.81,7147,40
383,2026-04-09 23:08:29,47.53,7557,234
384,2026-04-09 23:08:34,6.29,6468,434
385,2026-04-09 23:08:39,58.02,11480,352
386,2026-04-09 23:08:44,72.11,14081,122
387,2026-04-09 23:08:49,25.31,7528,343
388,2026-04-09 23:08:54,2.74,14188,405
389,2026-04-09 23:08:59,42.38,12369,299
390,2026-04-09 23:09:04,93.27,6468,312
391,2026-04-09 23:09:09,16.05,4308,144
392,2026-04-09 23:09:14,44.96,12734,217
393,2026-04-09 23:09:19,39.36,3931,389
394,2026-04-09 23:09:24,78.7,3223,448
395,2026-04-09 23:09:29,10.23,4343,257
396,2026-04-09 23:09:34,17.99,2933,223
397,2026-04-09 23:09:39,36.09,7994,257
398,2026-04-09 23:09:44,21.78,872,424
399,2026-04-09 23:09:49,3.94,9068,431
400,2026-04-09 23:09:54,36.77,223,326
401,2026-04-09 23:09:59,46.07,4507,71
402,2026-04-09 23:10:04,23.5,14724,219
403,2026-04-09 23:10:09,85.54,5698,394
404,2026-04-09 23:10:14,79.13,1665,497
405,2026-04-09 23:10:19,0.61,9442,337
406,2026-04-09 23:10:24,18.63,210,302
407,2026-04-09 23:10:29,28.14,11161,11
408,2026-04-09 23:10:34,62.54,404,449
409,2026-04-09 23:10:39,55.99,4445,61
410,2026-04-09 23:10:44,96.1,277,141
411,2026-04-09 23:10:49,73.03,1939,226
412,2026-04-09 23:10:54,23.72,13092,485
413,2026-04-09 23:10:59,20.19,7053,400
414,2026-04-09 23:11:04,56.09,3318,142
415,2026-04-09 23:11:09,26.16,5606,120
416,2026-04-09 23:11:14,12.54,6680,192
417,2026-04-09 23:11:19,48.79,6001,267
418,2026-04-09 23:11:24,94.44,151,45
419,2026-04-09 23:11:29,70.95,1641,214
420,2026-04-09 23:11:34,59.44,14342,4
421,2026-04-09 23:11:39,90.39,12687,88
422,2026-04-09 23:11:44,44.78,14933,81
423,2026-04-09 23:11:49,59.38,12137,468
424,2026-04-09 23:11:54,95.61,5410,174
425,2026-04-09 23:11:59,29.93,6704,260
426,2026-04-09 23:12:04,9.23,831,355
427,2026-04-09 23:12:09,6.83,16089,241
428,2026-04-09 23:12:14,49.6,10509,263
429,2026-04-09 23:12:19,49.79,15848,397
430,2026-04-09 23:12:24,43.64,13964,65
431,2026-04-09 23:12:29,64.06,10199,193
432,2026-04-09 23:12:34,95.76,12006,434
433,2026-04-09 23:12:39,1.26,1150,17
434,2026-04-09 23:12:44,67.36,13558,410
435,2026-04-09 23:12:49,60.03,14880,10
436,2026-04-09 23:12:54,25.52,14770,293
437,2026-04-09 23:12:59,15.07,3381,340
438,2026-04-09 23:13:04,28.14,16268,128
439,2026-04-09 23:13:09,62.33,270,140
440,2026-04-09 23:13:14,42.46,16210,283
441,2026-04-09 23:13:19,26.54,720,165
442,2026-04-09 23:13:24,40.95,9052,371
443,2026-04-09 23:13:29,76.5,9409,140
444,2026-04-09 23:13:34,70.88,14350,320
445,2026-04-09 23:13:39,28.44,1707,295
446,2026-04-09 23:13:44,27.71,4771,228
447,2026-04-09 23:13:49,18.28,12293,250
448,2026-04-09 23:13:54,2.01,1929,297
449,2026-04-09 23:13:59,97.12,5734,46
450,2026-04-09 23:14:04,35.87,14907,334
451,2026-04-09 23:14:09,15.18,14068,15
452,2026-04-09 23:14:14,85.3,12280,398
453,2026-04-09 23:14:19,4.25,3836,397
454,2026-04-09 23:14:24,16.99,1449,68
455,2026-04-09 23:14:29,79.7,8446,11
456,2026-04-09 23:14:34,7.81,11756,459
457,2026-04-09 23:14:39,82.79,16092,295
458,2026-04-09 23:14:44,22.88,6401,279
459,2026-04-09 23:14:49,64.29,15031,160
460,2026-04-09 23:14:54,44.73,10505,377
461,2026-04-09 23:14:59,26.87,2631,243
462,2026-04-09 23:15:04,26.95,5694,475
463,2026-04-09 23:15:09,23.36,13534,446
464,2026-04-09 23:15:14,34.92,8062,440
465,2026-04-09 23:15:19,36.1,16070,90
466,2026-04-09 23:15:24,95.11,14761,297
467,2026-04-09 23:15:29,21.19,3711,251
468,2026-04-09 23:15:34,5.84,3568,32
469,2026-04-09 23:15:39,88.19,13159,129
470,2026-04-09 23:15:44,34.93,5051,135
471,2026-04-09 23:15:49,81.9,11665,14
472,2026-04-09 23:15:54,67.62,2009,309
473,2026-04-09 23:15:59,81.04,2310,109
474,2026-04-09 23:16:04,6.11,1119,207
475,2026-04-09 23:16:09,4.76,1564,329
476,2026-04-09 23:16:14,97.14,3885,478
477,2026-04-09 23:16:19,82.21,14676,146
478,2026-04-09 23:16:24,4.69,14078,347
479,2026-04-09 23:16:29,55.51,8952,328
480,2026-04-09 23:16:34,13.86,6946,280
481,2026-04-09 23:16:39,87.77,5257,49
482,2026-04-09 23:16:44,88.98,7683,208
483,2026-04-09 23:16:49,16.01,1984,1
484,2026-04-09 23:16:54,25.9,3610,178
485,2026-04-09 23:16:59,12.6,11077,217
486,2026-04-09 23:17:04,49.74,2012,468
487,2026-04-09 23:17:09,22.58,6341,435
488,2026-04-09 23:17:14,84.63,12682,129
489,2026-04-09 23:17:19,66.25,8626,123
490,2026-04-09 23:17:24,55.02,16098,326
491,2026-04-09 23:17:29,22.79,7552,54
492,2026-04-09 23:17:34,4.52,10604,133
493,2026-04-09 23:17:39,18.6,16199,175
494,2026-04-09 23:17:44,47.54,13470,198
495,2026-04-09 23:17:49,94.0,7331,385
496,2026-04-09 23:17:54,92.6,7695,225
497,2026-04-09 23:17:59,59.98,13388,124
498,2026-04-09 23:18:04,81.62,6056,189
499,2026-04-09 23:18:09,15.79,1426,299
500,2026-04-09 23:18:14,66.68,15266,164
501,2026-04-09 23:18:19,40.3,13411,182
502,2026-04-09 23:18:24,9.47,2261,195
503,2026-04-09 23:18:29,9.79,2338,143
504,2026-04-09 23:18:34,10.18,11185,180
505,2026-04-09 23:18:39,65.04,3998,451
506,2026-04-09 23:18:44,80.06,10890,66
507,2026-04-09 23:18:49,90.18,8698,65
508,2026-04-09 23:18:54,17.42,7668,129
509,2026-04-09 23:18:59,7.16,9315,148
510,2026-04-09 23:19:04,6.68,1809,49
511,2026-04-09 23:19:09,44.32,12577,31
512,2026-04-09 23:19:14,35.76,806,297
513,2026-04-09 23:19:19,96.88,8487,236
514,2026-04-09 23:19:24,27.58,1732,105
515,2026-04-09 23:19:29,53.66,13267,412
516,2026-04-09 23:19:34,62.1,10330,377
517,2026-04-09 23:19:39,36.31,5652,219
518,2026-04-09 23:19:44,6.17,9964,322
519,2026-04-09 23:19:49,86.31,5048,406
520,2026-04-09 23:19:54,52.41,11366,1
521,2026-04-09 23:19:59,27.22,2014,116
522,2026-04-09 23:20:04,34.9,3561,139
523,2026-04-09 23:20:09,60.86,8951,58
524,2026-04-09 23:20:14,64.15,4306,197
525,2026-04-09 23:20:19,94.17,1872,314
526,2026-04-09 23:20:24,30.26,15404,141
527,2026-04-09 23:20:29,73.02,13295,265
528,2026-04-09 23:20:34,5.23,15717,154
529,2026-04-09 23:20:39,48.05,12918,466
530,2026-04-09 23:20:44,18.59,2097,448
531,2026-04-09 23:20:49,67.58,683,462
532,2026-04-09 23:20:54,14.03,8553,388
533,2026-04-09 23:20:59,74.87,8812,443
534,2026-04-09 23:21:04,28.52,8674,51
535,2026-04-09 23:21:09,56.94,13432,157
536,2026-04-09 23:21:14,2.99,14136,395
537,2026-04-09 23:21:19,21.66,10545,206
538,2026-04-09 23:21:24,85.43,14312,2
539,2026-04-09 23:21:29,75.19,4214,138
540,2026-04-09 23:21:34,7.6,1807,307
541,2026-04-09 23:21:39,59.67,7213,58
542,2026-04-09 23:21:44,46.02,9665,317
543,2026-04-09 23:21:49,74.55,10976,418
544,2026-04-09 23:21:54,46.62,6269,8
545,2026-04-09 23:21:59,65.64,2090,303
546,2026-04-09 23:22:04,36.83,249,106
547,2026-04-09 23:22:09,23.63,15168,266
548,2026-04-09 23:22:14,79.27,11160,495
549,2026-04-09 23:22:19,34.51,15226,320
550,2026-04-09 23:22:24,60.68,3884,199
551,2026-04-09 23:22:29,47.18,2973,121
552,2026-04-09 23:22:34,27.25,10738,491
553,2026-04-09 23:22:39,80.03,3638,266
554,2026-04-09 23:22:44,88.4,4918,467
555,2026-04-09 23:22:49,41.98,7751,166
556,2026-04-09 23:22:54,33.07,15072,226
557,2026-04-09 23:22:59,92.87,1513,312
558,2026-04-09 23:23:04,79.04,9547,25
559,2026-04-09 23:23:09,80.15,3064,89
560,2026-04-09 23:23:14,6.76,3718,463
561,2026-04-09 23:23:19,77.65,1507,45
562,2026-04-09 23:23:24,27.46,3789,393
563,2026-04-09 23:23:29,74.95,15649,380
564,2026-04-09 23:23:34,22.04,14334,465
565,2026-04-09 23:23:39,53.69,13392,456
566,2026-04-09 23:23:44,56.88,1833,364
567,2026-04-09 23:23:49,30.7,11063,84
568,2026-04-09 23:23:54,65.88,11308,360
569,2026-04-09 23:23:59,70.78,10597,206
570,2026-04-09 23:24:04,23.39,15159,198
571,2026-04-09 23:24:09,27.58,5988,285
572,2026-04-09 23:24:14,96.44,3968,386
573,2026-04-09 23:24:19,86.92,3839,375
574,2026-04-09 23:24:24,40.87,184,97
575,2026-04-09 23:24:29,28.15,6041,75
576,2026-04-09 23:24:34,42.23,7442,453
577,2026-04-09 23:24:39,24.62,6647,206
578,2026-04-09 23:24:44,51.66,9269,170
579,2026-04-09 23:24:49,28.9,10247,41
580,2026-04-09 23:24:54,40.19,12086,193
581,2026-04-09 23:24:59,8.11,14353,358
582,2026-04-09 23:25:04,5.11,518,414
